id,nombre,fecha,segmento,genero,subgenero,recinto_id,ciudad,categoria,subcategoria,banda_precio
LvZ18Q_UxbZJU0OZvVEE5,Antarctica Experience,2026-04-28,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_UxbZJU0OZvVEE7,Antarctica Experience,2026-04-28,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_UxbZJU0OZvVEE8,Antarctica Experience,2026-04-28,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_UxbZJU0OZvVEEA,Antarctica Experience,2026-04-28,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_UxbZJU0OZvVEEC,Antarctica Experience,2026-04-28,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_UxbZJU0OZvVEEF,Antarctica Experience,2026-04-28,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_UxbZJU0OZvVEEG,Antarctica Experience,2026-04-28,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_UxbZJU0OZvVEEa,Antarctica Experience,2026-04-28,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_UxbZJU0OZvVEEk,Antarctica Experience,2026-04-28,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_UxbZJU0OZvVEEu,Antarctica Experience,2026-04-28,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
Z698xZ2qZ1k0I4d0o,Snor,2026-04-28,Music,Rock,Pop,Z598xZ2qZdvF1,Barcelona,Música,Pop/Rock,medio
LvZ18Q_s1OxjMJOZv7w5q,Visita Audioguiada Palacio Domecq,2026-04-28,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s675Yfv8ZvRshq,Visita Audioguiada Palacio Domecq,2026-04-28,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s678ayc8Zv0bBk,Visita Audioguiada Palacio Domecq,2026-04-28,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s67C5UHOZvu3iK,Visita Audioguiada Palacio Domecq,2026-04-28,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s67QAjOYZvfGZZ,Visita Audioguiada Palacio Domecq,2026-04-28,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s67bW3uYZvUxvm,Visita Audioguiada Palacio Domecq,2026-04-28,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s67eeVSYZv83-z,Visita Audioguiada Palacio Domecq,2026-04-28,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s67hYfv8ZvRsLg,Visita Audioguiada Palacio Domecq,2026-04-28,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s67jvsY8ZvZ_Y1,Visita Audioguiada Palacio Domecq,2026-04-28,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUsc7,Museo Banksy Madrid,2026-04-28,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUscA,Museo Banksy Madrid,2026-04-28,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUscZ,Museo Banksy Madrid,2026-04-28,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUscd,Museo Banksy Madrid,2026-04-28,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUsce,Museo Banksy Madrid,2026-04-28,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUscv,Museo Banksy Madrid,2026-04-28,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUsiH,Museo Banksy Madrid,2026-04-28,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUsiT,Museo Banksy Madrid,2026-04-28,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUsiW,Museo Banksy Madrid,2026-04-28,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18QKTxr84RtOZv8E52,Museo Banksy Madrid,2026-04-28,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Qbc8EkDV-ZZv9oih,Tablao Flamenco 1911: El Tablao Más Antiguo del Mundo,2026-04-28,Music,World,Flamenco,Z598xZ2qZav1k,Madrid,Música,Flamenco/Rumba,alto
LvZ18Qbc8EkDV-ZZv9oij,Tablao Flamenco 1911: El Tablao Más Antiguo del Mundo,2026-04-28,Music,World,Flamenco,Z598xZ2qZav1k,Madrid,Música,Flamenco/Rumba,alto
LvZ18Qbc8EkDV-ZZv9oiq,Tablao Flamenco 1911: El Tablao Más Antiguo del Mundo,2026-04-28,Music,World,Flamenco,Z598xZ2qZav1k,Madrid,Música,Flamenco/Rumba,alto
LvZ18Qbc8EkDV-ZZv9oir,Tablao Flamenco 1911: El Tablao Más Antiguo del Mundo,2026-04-28,Music,World,Flamenco,Z598xZ2qZav1k,Madrid,Música,Flamenco/Rumba,alto
LvZ18QbcdqblQFYZvhUKV,DINOLANDIA Y EL BOSQUE ENCANTADO: 2 PARQUES EN UNO,2026-04-28,Miscellaneous,Family,Other,Z598xZ2qZae6F,Madrid,Familia y otros,Parques temáticos,medio
LvZ18QriM0WfVjYZvtYtM,Museo Carmen Thyssen Málaga,2026-04-28,Arts & Theatre,Cultural,Cultural,Z598xZ2qZk76e,Málaga,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_gT3GpfgYZvOS3-,Antarctica Experience,2026-04-29,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_gT3GpfgYZvOS3N,Antarctica Experience,2026-04-29,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_gT3GpfgYZvOS3R,Antarctica Experience,2026-04-29,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_gT3GpfgYZvOS3Y,Antarctica Experience,2026-04-29,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_gT3GpfgYZvOS3c,Antarctica Experience,2026-04-29,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_gT3GpfgYZvOS3i,Antarctica Experience,2026-04-29,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_gT3GpfgYZvOS3l,Antarctica Experience,2026-04-29,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_gT3GpfgYZvOS3m,Antarctica Experience,2026-04-29,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_gT3GpfgYZvOS3n,Antarctica Experience,2026-04-29,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_gT3GpfgYZvOS3t,Antarctica Experience,2026-04-29,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_gT3GpfgYZvOS3x,Antarctica Experience,2026-04-29,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
Z698xZ2qZ16vGx0EPx,Marlon Magnée - World Tour Part 1,2026-04-29,Music,Alternative,Alternative Rock,Z598xZ2qZdvF1,Barcelona,Música,Indie/Alternativo,medio
LvZ18Q_s1OxjMJOZv7w5r,Visita Audioguiada Palacio Domecq,2026-04-29,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s675Yfv8ZvRshr,Visita Audioguiada Palacio Domecq,2026-04-29,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s678ayc8Zv0bB6,Visita Audioguiada Palacio Domecq,2026-04-29,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s67C5UHOZvu3if,Visita Audioguiada Palacio Domecq,2026-04-29,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s67QAjOYZvfGZv,Visita Audioguiada Palacio Domecq,2026-04-29,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s67bW3uYZvUxvR,Visita Audioguiada Palacio Domecq,2026-04-29,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s67eeVSYZv83-y,Visita Audioguiada Palacio Domecq,2026-04-29,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s67hYfv8ZvRsLU,Visita Audioguiada Palacio Domecq,2026-04-29,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s67jvsY8ZvZ_Y5,Visita Audioguiada Palacio Domecq,2026-04-29,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUsc1,Museo Banksy Madrid,2026-04-29,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUsc2,Museo Banksy Madrid,2026-04-29,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUsc5,Museo Banksy Madrid,2026-04-29,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUsc6,Museo Banksy Madrid,2026-04-29,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUscC,Museo Banksy Madrid,2026-04-29,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUscF,Museo Banksy Madrid,2026-04-29,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUscG,Museo Banksy Madrid,2026-04-29,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUsca,Museo Banksy Madrid,2026-04-29,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUsck,Museo Banksy Madrid,2026-04-29,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUscu,Museo Banksy Madrid,2026-04-29,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18QKTxr84RtOZv8E58,Museo Banksy Madrid,2026-04-29,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Qbc8EkDV-ZZv9oi-,Tablao Flamenco 1911: El Tablao Más Antiguo del Mundo,2026-04-29,Music,World,Flamenco,Z598xZ2qZav1k,Madrid,Música,Flamenco/Rumba,alto
LvZ18Qbc8EkDV-ZZv9oiL,Tablao Flamenco 1911: El Tablao Más Antiguo del Mundo,2026-04-29,Music,World,Flamenco,Z598xZ2qZav1k,Madrid,Música,Flamenco/Rumba,alto
LvZ18Qbc8EkDV-ZZv9oiO,Tablao Flamenco 1911: El Tablao Más Antiguo del Mundo,2026-04-29,Music,World,Flamenco,Z598xZ2qZav1k,Madrid,Música,Flamenco/Rumba,alto
LvZ18Qbc8EkDV-ZZv9oix,Tablao Flamenco 1911: El Tablao Más Antiguo del Mundo,2026-04-29,Music,World,Flamenco,Z598xZ2qZav1k,Madrid,Música,Flamenco/Rumba,alto
LvZ18QbcdqblQFYZvhUKg,DINOLANDIA Y EL BOSQUE ENCANTADO: 2 PARQUES EN UNO,2026-04-29,Miscellaneous,Family,Other,Z598xZ2qZae6F,Madrid,Familia y otros,Parques temáticos,medio
LvZ18QriM0WfVjYZvtYtz,Museo Carmen Thyssen Málaga,2026-04-29,Arts & Theatre,Cultural,Cultural,Z598xZ2qZk76e,Málaga,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_U-wZxlWZZvGhmB,Antarctica Experience,2026-04-30,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_U-wZxlWZZvGhmD,Antarctica Experience,2026-04-30,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_U-wZxlWZZvGhmH,Antarctica Experience,2026-04-30,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_U-wZxlWZZvGhmM,Antarctica Experience,2026-04-30,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_U-wZxlWZZvGhmS,Antarctica Experience,2026-04-30,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_U-wZxlWZZvGhmU,Antarctica Experience,2026-04-30,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_U-wZxlWZZvGhmV,Antarctica Experience,2026-04-30,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_U-wZxlWZZvGhmW,Antarctica Experience,2026-04-30,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_U-wZxlWZZvGhmX,Antarctica Experience,2026-04-30,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_U-wZxlWZZvGhmw,Antarctica Experience,2026-04-30,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_U-wZxlWZZvGhmy,Antarctica Experience,2026-04-30,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_U-wZxlWZZvGhmz,Antarctica Experience,2026-04-30,Miscellaneous,Family,Other,Z598xZ2qZkFee,Barcelona,Familia y otros,Visitas Guiadas/Exposiciones,alto
LvZ18Q_s1OxjMJOZv7w5L,Visita Audioguiada Palacio Domecq,2026-04-30,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s675Yfv8ZvRshL,Visita Audioguiada Palacio Domecq,2026-04-30,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s678ayc8Zv0bBF,Visita Audioguiada Palacio Domecq,2026-04-30,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s67C5UHOZvu3i4,Visita Audioguiada Palacio Domecq,2026-04-30,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s67QAjOYZvfGZe,Visita Audioguiada Palacio Domecq,2026-04-30,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s67bW3uYZvUxvY,Visita Audioguiada Palacio Domecq,2026-04-30,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s67eeVSYZv83-B,Visita Audioguiada Palacio Domecq,2026-04-30,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s67hYfv8ZvRsLM,Visita Audioguiada Palacio Domecq,2026-04-30,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_s67jvsY8ZvZ_YG,Visita Audioguiada Palacio Domecq,2026-04-30,Undefined,,,Z598xZ2qZavF7,Jerez de la Frontera,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUsc4,Museo Banksy Madrid,2026-04-30,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUsc8,Museo Banksy Madrid,2026-04-30,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUsc9,Museo Banksy Madrid,2026-04-30,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUscK,Museo Banksy Madrid,2026-04-30,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUsc_,Museo Banksy Madrid,2026-04-30,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUscb,Museo Banksy Madrid,2026-04-30,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUscf,Museo Banksy Madrid,2026-04-30,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUsco,Museo Banksy Madrid,2026-04-30,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q3HOZOf1kOZvUscp,Museo Banksy Madrid,2026-04-30,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18QKTxr84RtOZv8E5o,Museo Banksy Madrid,2026-04-30,Arts & Theatre,Cultural,Cultural,Z598xZ2qZF111,Madrid,Familia y otros,Visitas Guiadas/Exposiciones,medio
LvZ18Q_gm58JU0OZvSAC_,Broadway Comedy Club,2026-04-30,Undefined,,,Z598xZ2qZavd1,Madrid,Arte y Teatro,Comedia,medio
LvZ18Qbc8EkDV-ZZv9oi0,Tablao Flamenco 1911: El Tablao Más Antiguo del Mundo,2026-04-30,Music,World,Flamenco,Z598xZ2qZav1k,Madrid,Música,Flamenco/Rumba,alto
LvZ18Qbc8EkDV-ZZv9oiJ,Tablao Flamenco 1911: El Tablao Más Antiguo del Mundo,2026-04-30,Music,World,Flamenco,Z598xZ2qZav1k,Madrid,Música,Flamenco/Rumba,alto
LvZ18Qbc8EkDV-ZZv9oiN,Tablao Flamenco 1911: El Tablao Más Antiguo del Mundo,2026-04-30,Music,World,Flamenco,Z598xZ2qZav1k,Madrid,Música,Flamenco/Rumba,alto
LvZ18Qbc8EkDV-ZZv9oiP,Tablao Flamenco 1911: El Tablao Más Antiguo del Mundo,2026-04-30,Music,World,Flamenco,Z598xZ2qZav1k,Madrid,Música,Flamenco/Rumba,alto
LvZ18QbcdqblQFYZvhUKU,DINOLANDIA Y EL BOSQUE ENCANTADO: 2 PARQUES EN UNO,2026-04-30,Miscellaneous,Family,Other,Z598xZ2qZae6F,Madrid,Familia y otros,Parques temáticos,medio
LvZ18QqWUAzB32YZv-fdV,IMPRO IMPAR SHOW,2026-04-30,Undefined,,,Z598xZ2qZavd1,Madrid,Arte y Teatro,Comedia,medio
Z698xZ2qZ16eZNFePs,5 Seconds of Summer - Everyone's Star! World Tour,2026-04-30,Music,Rock,Pop,Z598xZ2qZe7v1,Madrid,Música,Pop/Rock,alto
Z698xZ2qZ16vjJuKbz,5 Seconds of Summer - Everyone's Star! World Tour | VIP Packages,2026-04-30,Music,Rock,Pop,Z598xZ2qZe7v1,Madrid,Música,Pop/Rock,alto
Z698xZ2qZ16vqpkFAk,5 Seconds of Summer - UPGRADE ‘BITE THE APPLE’ (entrada no incluida),2026-04-30,Music,Rock,Pop,Z598xZ2qZe7v1,Madrid,Música,Pop/Rock,medio
Z698xZ2qZ1k-zvz_O,5 Seconds of Summer - PIT UPGRADE (entrada no incluida),2026-04-30,Music,Rock,Pop,Z598xZ2qZe7v1,Madrid,Música,Pop/Rock,alto
Z698xZ2qZ1k0k-ex_,Marlon Magnée - World Tour Part 1,2026-04-30,Music,Alternative,Alternative Rock,Z198xZ2qZa67,Madrid,Música,Indie/Alternativo,medio
LvZ18QriM0WfVjYZvtYty,Museo Carmen Thyssen Málaga,2026-04-30,Arts & Theatre,Cultural,Cultural,Z598xZ2qZk76e,Málaga,Familia y otros,Visitas Guiadas/Exposiciones,medio
