interaction_id,event_timestamp,user_id,session_id,event_id,interaction_type,swipe_direction,liked,recommendation_context,segmento,genero,subgenero,ciudad,precio_min,precio_max,fecha_evento,recinto_id,ingestion_timestamp,dwell_ms,home_city,synthetic_persona,days_until_event,price_mid
int_0001530,2026-01-02T11:36:40+00:00,user_0014,user_0014_session_007,evt_00555,swipe,left,false,swipe,Sports,Tennis,Exhibition,Valencia,63.0,91.0,2026-03-14,valencia_mediterraneo_hall,2026-01-02T12:14:40+00:00,2046,Valencia,music_local_budget,71,77.0
int_0009532,2026-01-02T11:40:16+00:00,user_0092,user_0092_session_003,evt_00689,swipe,left,false,swipe,Music,Pop,Mainstream_Pop,Sevilla,43.0,59.0,2026-01-11,sevilla_triana_hall,2026-01-02T12:27:16+00:00,2413,Barcelona,arts_culture_local,9,51.0
int_0004042,2026-01-02T11:44:50+00:00,user_0035,user_0035_session_016,evt_00116,swipe,right,true,swipe,Arts_Theatre,Theatre,Drama,Madrid,33.0,59.0,2026-04-17,madrid_distrito_club,2026-01-02T11:55:50+00:00,4909,Barcelona,music_local_budget,105,46.0
int_0005988,2026-01-02T12:03:33+00:00,user_0055,user_0055_session_019,evt_00610,swipe,left,false,swipe,Arts_Theatre,Classical,Symphonic,Valencia,41.0,71.0,2026-02-08,valencia_ciutat_arena,2026-01-02T12:32:33+00:00,1305,Sevilla,sports_travel_premium,37,56.0
int_0003883,2026-01-02T12:09:39+00:00,user_0034,user_0034_session_009,evt_00492,swipe,left,false,swipe,Music,Electronic,Techno,Valencia,57.0,85.0,2026-04-15,valencia_ciutat_arena,2026-01-02T12:52:39+00:00,2596,Valencia,music_local_budget,103,71.0
int_0017741,2026-01-02T12:28:51+00:00,user_0175,user_0175_session_022,evt_01161,swipe,left,false,chat,Music,Electronic,Techno,Malaga,56.0,80.0,2026-01-13,malaga_malaga_forum,2026-01-02T13:00:51+00:00,751,Malaga,electronic_night_explorer,11,68.0
int_0006822,2026-01-02T12:40:10+00:00,user_0064,user_0064_session_004,evt_00092,swipe,left,false,swipe,Sports,Basketball,EuroLeague,Madrid,58.0,86.0,2026-04-16,madrid_distrito_club,2026-01-02T13:36:10+00:00,2083,Malaga,sports_travel_premium,104,72.0
int_0021309,2026-01-02T12:50:32+00:00,user_0206,user_0206_session_019,evt_00780,swipe,left,false,swipe,Sports,Tennis,Exhibition,Sevilla,76.0,108.0,2026-04-13,sevilla_alameda_club,2026-01-02T13:07:32+00:00,540,Bilbao,broad_discovery_flexible,101,92.0
int_0006510,2026-01-02T13:14:32+00:00,user_0061,user_0061_session_007,evt_00193,swipe,left,false,swipe,Family,Circus,Acrobatic,Madrid,23.0,49.0,2026-01-10,madrid_river_stage,2026-01-02T13:46:32+00:00,1657,Barcelona,sports_travel_premium,8,36.0
int_0012937,2026-01-02T13:22:03+00:00,user_0128,user_0128_session_013,evt_00459,swipe,right,true,swipe,Music,Rock,Alternative_Rock,Valencia,39.0,63.0,2026-03-19,valencia_mediterraneo_hall,2026-01-02T14:15:03+00:00,5329,Madrid,family_weekend_local,76,51.0
int_0017709,2026-01-02T13:33:43+00:00,user_0175,user_0175_session_017,evt_00138,swipe,right,true,swipe,Arts_Theatre,Musical,Local_Musical,Madrid,40.0,72.0,2026-02-11,madrid_distrito_club,2026-01-02T13:39:43+00:00,9147,Malaga,electronic_night_explorer,40,56.0
int_0020070,2026-01-02T13:37:22+00:00,user_0195,user_0195_session_002,evt_00058,swipe,left,false,swipe,Music,Urban,Hip_Hop,Madrid,36.0,72.0,2026-02-11,madrid_distrito_club,2026-01-02T13:54:22+00:00,719,Madrid,electronic_night_explorer,40,54.0
int_0024488,2026-01-02T13:54:12+00:00,user_0238,user_0238_session_012,evt_01017,swipe,left,false,swipe,Arts_Theatre,Theatre,Contemporary,Bilbao,25.0,51.0,2026-01-12,bilbao_abando_arena,2026-01-02T14:42:12+00:00,2527,Barcelona,broad_discovery_flexible,10,38.0
int_0004875,2026-01-02T13:55:09+00:00,user_0043,user_0043_session_017,evt_00266,swipe,left,false,swipe,Music,Electronic,Techno,Barcelona,61.0,89.0,2026-02-09,barcelona_diagonal_arena,2026-01-02T14:17:09+00:00,744,Sevilla,sports_travel_premium,38,75.0
int_0016718,2026-01-02T13:58:17+00:00,user_0167,user_0167_session_024,evt_00171,swipe,left,false,swipe,Arts_Theatre,Classical,Chamber,Madrid,43.0,73.0,2026-03-17,madrid_river_stage,2026-01-02T14:53:17+00:00,2987,Sevilla,electronic_night_explorer,74,58.0
int_0004556,2026-01-02T14:03:04+00:00,user_0040,user_0040_session_012,evt_00627,swipe,left,false,swipe,Family,Kids,Interactive_Show,Valencia,29.0,47.0,2026-03-15,valencia_mediterraneo_hall,2026-01-02T14:38:04+00:00,2070,Madrid,music_local_budget,72,38.0
int_0001174,2026-01-02T14:10:42+00:00,user_0011,user_0011_session_010,evt_00977,swipe,left,false,swipe,Sports,Basketball,ACB,Bilbao,70.0,96.0,2026-01-10,bilbao_abando_arena,2026-01-02T15:06:42+00:00,1222,Bilbao,music_local_budget,8,83.0
int_0020439,2026-01-02T14:15:36+00:00,user_0198,user_0198_session_006,evt_00721,swipe,right,true,swipe,Music,Urban,Trap,Sevilla,46.0,74.0,2026-01-14,sevilla_triana_hall,2026-01-02T15:07:36+00:00,3267,Valencia,electronic_night_explorer,12,60.0
int_0014602,2026-01-02T14:23:48+00:00,user_0148,user_0148_session_003,evt_00153,swipe,right,true,swipe,Arts_Theatre,Comedy,Improvised,Madrid,8.0,37.0,2026-01-10,madrid_river_stage,2026-01-02T14:44:48+00:00,7182,Bilbao,family_weekend_local,8,22.5
int_0010593,2026-01-02T14:31:17+00:00,user_0102,user_0102_session_015,evt_00979,swipe,left,false,swipe,Sports,Basketball,ACB,Bilbao,67.0,85.0,2026-03-15,bilbao_abando_arena,2026-01-02T15:23:17+00:00,2305,Malaga,arts_culture_local,72,76.0
int_0010673,2026-01-02T14:45:33+00:00,user_0103,user_0103_session_012,evt_01066,swipe,right,true,swipe,Arts_Theatre,Classical,Chamber,Bilbao,33.0,51.0,2026-02-13,bilbao_arenal_stage,2026-01-02T15:37:33+00:00,6658,Madrid,arts_culture_local,42,42.0
int_0004271,2026-01-02T15:05:40+00:00,user_0037,user_0037_session_019,evt_00556,swipe,left,false,swipe,Sports,Tennis,Exhibition,Valencia,89.0,101.0,2026-04-12,valencia_ciutat_arena,2026-01-02T15:31:40+00:00,2354,Barcelona,music_local_budget,100,95.0
int_0023722,2026-01-02T15:14:32+00:00,user_0231,user_0231_session_009,evt_00434,swipe,left,false,swipe,Family,Exhibition,Science,Barcelona,8.0,28.0,2026-02-13,barcelona_diagonal_arena,2026-01-02T15:51:32+00:00,1216,Sevilla,broad_discovery_flexible,42,18.0
int_0019334,2026-01-02T15:17:06+00:00,user_0189,user_0189_session_005,evt_01257,swipe,left,false,swipe,Arts_Theatre,Musical,Local_Musical,Malaga,54.0,86.0,2026-01-10,malaga_malaga_forum,2026-01-02T15:39:06+00:00,2417,Madrid,electronic_night_explorer,8,70.0
int_0018073,2026-01-02T15:31:46+00:00,user_0178,user_0178_session_019,evt_00844,swipe,right,true,swipe,Arts_Theatre,Classical,Chamber,Sevilla,26.0,46.0,2026-04-14,sevilla_alameda_club,2026-01-02T16:06:46+00:00,7215,Barcelona,electronic_night_explorer,102,36.0
int_0006699,2026-01-02T15:34:07+00:00,user_0063,user_0063_session_003,evt_00780,swipe,right,true,swipe,Sports,Tennis,Exhibition,Sevilla,76.0,108.0,2026-04-13,sevilla_alameda_club,2026-01-02T16:04:07+00:00,4315,Valencia,sports_travel_premium,101,92.0
int_0017577,2026-01-02T15:35:54+00:00,user_0174,user_0174_session_018,evt_00450,swipe,right,true,swipe,Music,Rock,Indie_Rock,Valencia,33.0,67.0,2026-02-08,valencia_ciutat_arena,2026-01-02T16:22:54+00:00,4642,Madrid,electronic_night_explorer,37,50.0
int_0008467,2026-01-02T15:53:53+00:00,user_0081,user_0081_session_004,evt_01289,swipe,left,false,swipe,Arts_Theatre,Classical,Chamber,Malaga,40.0,70.0,2026-01-10,malaga_malaga_forum,2026-01-02T16:45:53+00:00,1671,Malaga,arts_culture_local,8,55.0
int_0009720,2026-01-02T16:06:15+00:00,user_0094,user_0094_session_002,evt_00033,swipe,left,false,swipe,Music,Electronic,House,Madrid,51.0,81.0,2026-01-10,madrid_river_stage,2026-01-02T16:45:15+00:00,1316,Barcelona,arts_culture_local,8,66.0
int_0003761,2026-01-02T16:09:14+00:00,user_0033,user_0033_session_006,evt_00451,swipe,right,true,swipe,Music,Rock,Indie_Rock,Valencia,31.0,61.0,2026-03-16,valencia_mediterraneo_hall,2026-01-02T16:30:14+00:00,8462,Barcelona,music_local_budget,73,46.0
int_0018401,2026-01-02T16:12:06+00:00,user_0181,user_0181_session_015,evt_00692,swipe,right,true,chat,Music,Pop,Mainstream_Pop,Sevilla,34.0,70.0,2026-04-17,sevilla_alameda_club,2026-01-02T16:23:06+00:00,7747,Bilbao,electronic_night_explorer,105,52.0
int_0019702,2026-01-02T16:14:01+00:00,user_0192,user_0192_session_005,evt_01257,swipe,left,false,swipe,Arts_Theatre,Musical,Local_Musical,Malaga,54.0,86.0,2026-01-10,malaga_malaga_forum,2026-01-02T16:48:01+00:00,2132,Bilbao,electronic_night_explorer,8,70.0
int_0013936,2026-01-02T16:22:10+00:00,user_0139,user_0139_session_012,evt_00386,swipe,left,false,swipe,Arts_Theatre,Classical,Symphonic,Barcelona,28.0,60.0,2026-02-10,barcelona_diagonal_arena,2026-01-02T17:19:10+00:00,2807,Malaga,family_weekend_local,39,44.0
int_0001251,2026-01-02T16:23:09+00:00,user_0012,user_0012_session_003,evt_00587,swipe,right,true,swipe,Arts_Theatre,Musical,Local_Musical,Valencia,49.0,71.0,2026-03-12,valencia_mediterraneo_hall,2026-01-02T17:23:09+00:00,4863,Barcelona,music_local_budget,69,60.0
int_0002840,2026-01-02T16:24:56+00:00,user_0025,user_0025_session_015,evt_00932,swipe,right,true,swipe,Music,Electronic,House,Bilbao,48.0,76.0,2026-04-13,bilbao_arenal_stage,2026-01-02T16:46:56+00:00,2726,Sevilla,music_local_budget,101,62.0
int_0001068,2026-01-02T16:40:49+00:00,user_0010,user_0010_session_013,evt_00746,swipe,left,false,swipe,Sports,Football,International_Friendly,Sevilla,95.0,111.0,2026-02-08,sevilla_alameda_club,2026-01-02T16:56:49+00:00,914,Sevilla,music_local_budget,37,103.0
int_0017800,2026-01-02T16:49:09+00:00,user_0176,user_0176_session_010,evt_00874,swipe,right,true,swipe,Family,Circus,Family_Circus,Sevilla,14.0,26.0,2026-02-09,sevilla_alameda_club,2026-01-02T17:47:09+00:00,2648,Malaga,electronic_night_explorer,38,20.0
int_0012853,2026-01-02T17:24:47+00:00,user_0127,user_0127_session_016,evt_00169,swipe,right,true,swipe,Arts_Theatre,Classical,Chamber,Madrid,37.0,61.0,2026-01-10,madrid_river_stage,2026-01-02T18:09:47+00:00,3332,Sevilla,family_weekend_local,8,49.0
int_0018523,2026-01-02T17:38:07+00:00,user_0182,user_0182_session_011,evt_01154,swipe,left,false,chat,Music,Electronic,House,Malaga,49.0,67.0,2026-02-11,malaga_alcazaba_hall,2026-01-02T17:54:07+00:00,2222,Sevilla,electronic_night_explorer,40,58.0
int_0008390,2026-01-02T17:41:39+00:00,user_0080,user_0080_session_009,evt_00587,swipe,right,true,swipe,Arts_Theatre,Musical,Local_Musical,Valencia,49.0,71.0,2026-03-12,valencia_mediterraneo_hall,2026-01-02T17:53:39+00:00,6888,Sevilla,arts_culture_local,69,60.0
int_0003210,2026-01-02T17:47:16+00:00,user_0029,user_0029_session_002,evt_00457,swipe,right,true,swipe,Music,Rock,Alternative_Rock,Valencia,36.0,64.0,2026-01-10,valencia_mediterraneo_hall,2026-01-02T18:01:16+00:00,5305,Barcelona,music_local_budget,8,50.0
int_0007365,2026-01-02T17:54:32+00:00,user_0069,user_0069_session_016,evt_01204,swipe,right,true,swipe,Sports,Basketball,ACB,Malaga,72.0,108.0,2026-04-13,malaga_alcazaba_hall,2026-01-02T18:06:32+00:00,3349,Madrid,sports_travel_premium,101,90.0
int_0017631,2026-01-02T17:56:43+00:00,user_0175,user_0175_session_004,evt_00283,swipe,right,true,swipe,Music,Urban,Hip_Hop,Barcelona,42.0,78.0,2026-03-11,barcelona_montjuic_hall,2026-01-02T18:25:43+00:00,6331,Malaga,electronic_night_explorer,68,60.0
int_0001888,2026-01-02T18:14:14+00:00,user_0017,user_0017_session_016,evt_00859,swipe,left,false,swipe,Family,Kids,Storytelling,Sevilla,27.0,39.0,2026-03-15,sevilla_triana_hall,2026-01-02T18:35:14+00:00,2700,Bilbao,music_local_budget,72,33.0
int_0016104,2026-01-02T18:17:38+00:00,user_0163,user_0163_session_004,evt_00714,swipe,left,false,swipe,Music,Electronic,Techno,Sevilla,53.0,83.0,2026-02-09,sevilla_alameda_club,2026-01-02T18:57:38+00:00,2272,Valencia,electronic_night_explorer,38,68.0
int_0012202,2026-01-02T18:20:47+00:00,user_0120,user_0120_session_011,evt_00604,swipe,left,false,swipe,Arts_Theatre,Comedy,Improvised,Valencia,33.0,51.0,2026-04-14,valencia_ciutat_arena,2026-01-02T18:45:47+00:00,1010,Bilbao,family_weekend_local,102,42.0
int_0015865,2026-01-02T18:24:36+00:00,user_0161,user_0161_session_007,evt_00009,swipe,left,false,chat,Music,Rock,Alternative_Rock,Madrid,32.0,52.0,2026-01-11,madrid_river_stage,2026-01-02T18:51:36+00:00,575,Malaga,electronic_night_explorer,9,42.0
int_0006208,2026-01-02T18:42:11+00:00,user_0058,user_0058_session_005,evt_00091,swipe,right,true,swipe,Sports,Basketball,EuroLeague,Madrid,67.0,93.0,2026-03-12,madrid_river_stage,2026-01-02T19:09:11+00:00,5865,Bilbao,sports_travel_premium,69,80.0
int_0008840,2026-01-02T18:43:20+00:00,user_0084,user_0084_session_015,evt_00475,swipe,right,true,swipe,Music,Pop,Latin_Pop,Valencia,47.0,83.0,2026-03-14,valencia_mediterraneo_hall,2026-01-02T19:35:20+00:00,3123,Valencia,arts_culture_local,71,65.0
int_0011064,2026-01-02T18:47:20+00:00,user_0107,user_0107_session_016,evt_00010,swipe,left,false,swipe,Music,Rock,Alternative_Rock,Madrid,27.0,63.0,2026-02-12,madrid_distrito_club,2026-01-02T18:57:20+00:00,2654,Sevilla,arts_culture_local,41,45.0
int_0000015,2026-01-02T19:04:25+00:00,user_0001,user_0001_session_004,evt_01148,swipe,right,true,swipe,Music,Pop,Latin_Pop,Malaga,46.0,70.0,2026-04-15,malaga_alcazaba_hall,2026-01-02T19:30:25+00:00,2553,Barcelona,music_local_budget,103,58.0
int_0016961,2026-01-02T19:07:21+00:00,user_0169,user_0169_session_017,evt_01210,swipe,left,false,swipe,Sports,Basketball,EuroLeague,Malaga,72.0,88.0,2026-02-08,malaga_alcazaba_hall,2026-01-02T19:37:21+00:00,1464,Madrid,electronic_night_explorer,37,80.0
int_0007653,2026-01-02T19:21:49+00:00,user_0072,user_0072_session_011,evt_00891,swipe,left,false,swipe,Family,Exhibition,Immersive,Sevilla,8.0,39.0,2026-03-11,sevilla_triana_hall,2026-01-02T19:55:49+00:00,1782,Bilbao,sports_travel_premium,68,23.5
int_0008902,2026-01-02T19:27:39+00:00,user_0085,user_0085_session_008,evt_00057,swipe,left,false,swipe,Music,Urban,Hip_Hop,Madrid,40.0,74.0,2026-01-10,madrid_river_stage,2026-01-02T19:53:39+00:00,1561,Madrid,arts_culture_local,8,57.0
int_0023717,2026-01-02T19:29:58+00:00,user_0231,user_0231_session_008,evt_00025,swipe,right,true,swipe,Music,Pop,Latin_Pop,Madrid,44.0,56.0,2026-01-10,madrid_river_stage,2026-01-02T19:59:58+00:00,8085,Sevilla,broad_discovery_flexible,8,50.0
int_0013636,2026-01-02T19:30:24+00:00,user_0136,user_0136_session_006,evt_00715,swipe,left,false,swipe,Music,Electronic,Techno,Sevilla,48.0,82.0,2026-03-15,sevilla_triana_hall,2026-01-02T20:02:24+00:00,684,Sevilla,family_weekend_local,72,65.0
int_0000085,2026-01-02T19:31:55+00:00,user_0001,user_0001_session_016,evt_00827,swipe,left,false,swipe,Arts_Theatre,Comedy,Improvised,Sevilla,37.0,53.0,2026-03-15,sevilla_triana_hall,2026-01-02T20:03:55+00:00,515,Barcelona,music_local_budget,72,45.0
int_0004741,2026-01-02T19:50:04+00:00,user_0042,user_0042_session_009,evt_00545,swipe,left,false,swipe,Sports,Tennis,ATP,Valencia,65.0,95.0,2026-01-10,valencia_mediterraneo_hall,2026-01-02T20:06:04+00:00,407,Valencia,sports_travel_premium,8,80.0
int_0018814,2026-01-02T19:56:47+00:00,user_0184,user_0184_session_019,evt_00810,swipe,left,false,swipe,Arts_Theatre,Musical,Local_Musical,Sevilla,37.0,69.0,2026-02-09,sevilla_alameda_club,2026-01-02T20:00:47+00:00,1354,Malaga,electronic_night_explorer,38,53.0
int_0004510,2026-01-02T19:59:58+00:00,user_0040,user_0040_session_004,evt_00532,swipe,left,false,swipe,Sports,Basketball,ACB,Valencia,60.0,92.0,2026-04-18,valencia_ciutat_arena,2026-01-02T20:20:58+00:00,859,Madrid,music_local_budget,106,76.0
int_0009180,2026-01-02T20:05:28+00:00,user_0088,user_0088_session_010,evt_01003,swipe,left,false,swipe,Sports,Tennis,Exhibition,Bilbao,82.0,102.0,2026-03-14,bilbao_abando_arena,2026-01-02T20:23:28+00:00,2832,Malaga,arts_culture_local,71,92.0
int_0003300,2026-01-02T20:30:33+00:00,user_0029,user_0029_session_017,evt_00370,swipe,left,false,swipe,Arts_Theatre,Comedy,Stand_Up,Barcelona,17.0,51.0,2026-02-14,barcelona_diagonal_arena,2026-01-02T21:03:33+00:00,950,Barcelona,music_local_budget,43,34.0
int_0012465,2026-01-02T20:32:50+00:00,user_0123,user_0123_session_012,evt_00660,swipe,right,true,swipe,Family,Exhibition,Science,Valencia,8.0,34.0,2026-04-12,valencia_ciutat_arena,2026-01-02T20:59:50+00:00,7105,Sevilla,family_weekend_local,100,21.0
int_0024573,2026-01-02T20:33:20+00:00,user_0239,user_0239_session_011,evt_00113,swipe,right,true,swipe,Arts_Theatre,Theatre,Drama,Madrid,26.0,62.0,2026-01-10,madrid_river_stage,2026-01-02T21:14:20+00:00,3264,Malaga,broad_discovery_flexible,8,44.0
int_0011886,2026-01-02T20:39:46+00:00,user_0116,user_0116_session_015,evt_01283,swipe,left,false,swipe,Arts_Theatre,Classical,Symphonic,Malaga,32.0,54.0,2026-03-17,malaga_malaga_forum,2026-01-02T21:06:46+00:00,2563,Barcelona,arts_culture_local,74,43.0
int_0015103,2026-01-02T20:47:11+00:00,user_0153,user_0153_session_012,evt_01249,swipe,left,false,swipe,Arts_Theatre,Musical,Broadway,Malaga,41.0,69.0,2026-01-10,malaga_malaga_forum,2026-01-02T21:43:11+00:00,1173,Sevilla,family_weekend_local,8,55.0
int_0001051,2026-01-02T21:04:37+00:00,user_0010,user_0010_session_010,evt_00274,swipe,right,true,swipe,Music,Urban,Trap,Barcelona,55.0,71.0,2026-02-15,barcelona_diagonal_arena,2026-01-02T21:31:37+00:00,5748,Sevilla,music_local_budget,44,63.0
int_0001452,2026-01-02T21:05:25+00:00,user_0013,user_0013_session_015,evt_00492,swipe,left,false,swipe,Music,Electronic,Techno,Valencia,57.0,85.0,2026-04-15,valencia_ciutat_arena,2026-01-02T21:06:25+00:00,1459,Barcelona,music_local_budget,103,71.0
int_0002614,2026-01-02T21:08:22+00:00,user_0023,user_0023_session_013,evt_01194,swipe,left,false,chat,Sports,Football,International_Friendly,Malaga,81.0,111.0,2026-02-08,malaga_alcazaba_hall,2026-01-02T21:35:22+00:00,824,Sevilla,music_local_budget,37,96.0
int_0004329,2026-01-02T21:21:04+00:00,user_0038,user_0038_session_008,evt_00899,swipe,right,true,swipe,Music,Rock,Indie_Rock,Bilbao,34.0,50.0,2026-03-14,bilbao_abando_arena,2026-01-02T21:47:04+00:00,5945,Bilbao,music_local_budget,71,42.0
int_0012374,2026-01-02T21:32:13+00:00,user_0122,user_0122_session_015,evt_00883,swipe,right,true,swipe,Family,Exhibition,Science,Sevilla,23.0,39.0,2026-03-13,sevilla_triana_hall,2026-01-02T22:01:13+00:00,3670,Madrid,family_weekend_local,70,31.0
int_0021222,2026-01-02T21:45:23+00:00,user_0206,user_0206_session_004,evt_01019,swipe,left,false,swipe,Arts_Theatre,Theatre,Contemporary,Bilbao,32.0,66.0,2026-03-13,bilbao_abando_arena,2026-01-02T22:26:23+00:00,1474,Bilbao,broad_discovery_flexible,70,49.0
int_0019511,2026-01-02T21:45:33+00:00,user_0190,user_0190_session_014,evt_00874,swipe,left,false,swipe,Family,Circus,Family_Circus,Sevilla,14.0,26.0,2026-02-09,sevilla_alameda_club,2026-01-02T22:34:33+00:00,868,Barcelona,electronic_night_explorer,38,20.0
int_0016496,2026-01-02T21:49:01+00:00,user_0166,user_0166_session_010,evt_01307,swipe,left,false,swipe,Family,Kids,Storytelling,Malaga,13.0,31.0,2026-03-14,malaga_malaga_forum,2026-01-02T21:54:01+00:00,1012,Bilbao,electronic_night_explorer,71,22.0
int_0003853,2026-01-02T21:53:59+00:00,user_0034,user_0034_session_004,evt_01289,swipe,right,true,swipe,Arts_Theatre,Classical,Chamber,Malaga,40.0,70.0,2026-01-10,malaga_malaga_forum,2026-01-02T22:27:59+00:00,6561,Valencia,music_local_budget,8,55.0
