user_id,home_city,synthetic_persona,target_activity,target_price,price_tolerance,lead_mean,lead_tolerance,city_loyalty,context_chat_share,dwell_multiplier,exploration_factor,like_bias
user_0028,Valencia,music_local_budget,101,41.0,26.0,16.0,17.0,0.85712,0.129248,0.99434,0.152155,0.09809
user_0029,Barcelona,music_local_budget,138,43.0,26.0,24.0,17.0,0.868624,0.101064,1.041245,0.165174,0.111877
user_0030,Sevilla,music_local_budget,130,37.0,29.0,25.0,11.0,0.846232,0.126111,0.951748,0.187668,0.073189
user_0031,Bilbao,music_local_budget,132,33.0,30.0,18.0,14.0,0.892645,0.139439,1.055388,0.135892,0.127506
user_0032,Sevilla,music_local_budget,129,36.0,27.0,23.0,11.0,0.834773,0.15421,1.014078,0.129536,0.106495
user_0033,Barcelona,music_local_budget,102,40.0,27.0,24.0,16.0,0.928416,0.09961,0.983804,0.205422,0.097114
user_0034,Valencia,music_local_budget,119,37.0,23.0,16.0,13.0,0.843911,0.133774,0.945525,0.125509,0.107689
user_0035,Barcelona,music_local_budget,91,35.0,31.0,20.0,10.0,0.921813,0.126407,0.92363,0.170017,0.122192
user_0036,Malaga,music_local_budget,119,39.0,33.0,24.0,14.0,0.93825,0.126291,0.931786,0.165203,0.12057
user_0037,Barcelona,music_local_budget,124,45.0,25.0,21.0,17.0,0.829487,0.15996,0.946211,0.199729,0.09133
user_0038,Bilbao,music_local_budget,115,48.0,29.0,18.0,15.0,0.889332,0.124265,0.993064,0.1618,0.092571
user_0039,Madrid,music_local_budget,92,37.0,32.0,17.0,15.0,0.910598,0.092227,1.019321,0.152287,0.091086
user_0040,Madrid,music_local_budget,124,43.0,28.0,19.0,17.0,0.907219,0.151048,1.055305,0.133982,0.123064
user_0041,Bilbao,sports_travel_premium,79,86.0,40.0,36.0,26.0,0.557839,0.124838,0.958727,0.225236,0.085189
user_0042,Valencia,sports_travel_premium,82,93.0,41.0,32.0,24.0,0.546871,0.077217,0.859268,0.167684,0.039426
user_0043,Sevilla,sports_travel_premium,104,87.0,45.0,31.0,22.0,0.579331,0.091538,0.952905,0.24229,0.078415
user_0044,Malaga,sports_travel_premium,80,91.0,46.0,32.0,26.0,0.573099,0.128675,0.962655,0.227544,0.078438
user_0045,Malaga,sports_travel_premium,87,85.0,44.0,35.0,19.0,0.555087,0.06327,0.945946,0.202438,0.042057
user_0046,Malaga,sports_travel_premium,108,93.0,40.0,41.0,22.0,0.557746,0.111918,0.964815,0.198304,0.086355
user_0047,Madrid,sports_travel_premium,89,96.0,41.0,39.0,19.0,0.5672,0.133652,0.981446,0.15648,0.038004
user_0048,Madrid,sports_travel_premium,103,86.0,41.0,31.0,19.0,0.565655,0.110879,0.983904,0.219871,0.0345
user_0049,Sevilla,sports_travel_premium,94,96.0,44.0,33.0,22.0,0.517597,0.137454,0.977515,0.249442,0.056717
user_0050,Valencia,sports_travel_premium,76,94.0,46.0,39.0,25.0,0.590244,0.113282,0.961424,0.246133,0.085193
user_0051,Bilbao,sports_travel_premium,105,85.0,41.0,31.0,23.0,0.509492,0.082737,0.924777,0.207971,0.039992
user_0052,Sevilla,sports_travel_premium,99,90.0,42.0,39.0,25.0,0.590299,0.13738,0.988865,0.245302,0.082052
user_0053,Valencia,sports_travel_premium,82,96.0,42.0,33.0,20.0,0.615801,0.085116,0.964415,0.187866,0.074194
user_0054,Madrid,sports_travel_premium,75,91.0,39.0,31.0,19.0,0.579778,0.119711,0.845161,0.231636,0.088393
user_0055,Sevilla,sports_travel_premium,122,86.0,46.0,40.0,19.0,0.572832,0.066276,0.884493,0.200589,0.062333
user_0056,Valencia,sports_travel_premium,111,97.0,45.0,33.0,18.0,0.518178,0.074468,0.86973,0.185168,0.059867
user_0057,Bilbao,sports_travel_premium,70,98.0,43.0,31.0,26.0,0.524378,0.085461,0.987267,0.199131,0.042008
user_0058,Bilbao,sports_travel_premium,91,82.0,49.0,35.0,24.0,0.610242,0.09614,0.876964,0.201343,0.049097
user_0059,Sevilla,sports_travel_premium,121,96.0,39.0,40.0,18.0,0.586033,0.097645,0.935664,0.157087,0.038033
user_0060,Sevilla,sports_travel_premium,78,90.0,40.0,34.0,23.0,0.519888,0.086575,0.916172,0.23699,0.079747
user_0061,Barcelona,sports_travel_premium,116,87.0,48.0,40.0,25.0,0.603935,0.100071,0.908794,0.157447,0.039533
user_0062,Sevilla,sports_travel_premium,101,90.0,44.0,32.0,18.0,0.543536,0.06801,0.931145,0.209259,0.071354
user_0063,Valencia,sports_travel_premium,114,86.0,46.0,39.0,20.0,0.559409,0.082456,0.923517,0.197078,0.052971
user_0064,Malaga,sports_travel_premium,87,90.0,41.0,38.0,26.0,0.58464,0.110112,0.965419,0.239767,0.088176
user_0065,Sevilla,sports_travel_premium,91,91.0,49.0,33.0,18.0,0.526627,0.093728,0.947968,0.240708,0.070997
user_0066,Madrid,sports_travel_premium,84,89.0,48.0,40.0,22.0,0.58981,0.115431,0.840724,0.248691,0.060549
user_0067,Bilbao,sports_travel_premium,116,90.0,47.0,34.0,20.0,0.551762,0.131117,0.846539,0.241544,0.076089
user_0068,Madrid,sports_travel_premium,91,92.0,45.0,40.0,25.0,0.575517,0.101611,0.942992,0.182571,0.077799
user_0069,Madrid,sports_travel_premium,121,98.0,39.0,34.0,23.0,0.520565,0.085304,0.954369,0.207534,0.039798
user_0070,Valencia,sports_travel_premium,109,84.0,43.0,40.0,23.0,0.530225,0.090751,0.954344,0.179599,0.036749
user_0071,Malaga,sports_travel_premium,92,90.0,47.0,35.0,22.0,0.501094,0.125824,0.984577,0.150845,0.046371
user_0072,Bilbao,sports_travel_premium,75,98.0,39.0,40.0,22.0,0.608079,0.069375,0.858867,0.212096,0.040464
user_0073,Barcelona,sports_travel_premium,86,98.0,41.0,35.0,26.0,0.542479,0.089102,0.924143,0.232573,0.085277
user_0074,Barcelona,sports_travel_premium,87,93.0,40.0,39.0,25.0,0.554268,0.139657,0.927704,0.238498,0.061408
user_0075,Madrid,sports_travel_premium,93,85.0,41.0,35.0,20.0,0.613355,0.10417,0.987943,0.220761,0.048216
user_0076,Barcelona,sports_travel_premium,111,97.0,46.0,34.0,22.0,0.526476,0.099813,0.917808,0.230944,0.04948
user_0077,Bilbao,sports_travel_premium,114,82.0,41.0,33.0,23.0,0.5206,0.076423,0.916265,0.240025,0.045725
user_0078,Sevilla,sports_travel_premium,74,88.0,41.0,37.0,25.0,0.535037,0.097839,0.960986,0.172128,0.072948
user_0079,Sevilla,arts_culture_local,109,44.0,35.0,26.0,13.0,0.778739,0.268883,1.081689,0.1933,0.066757
user_0080,Sevilla,arts_culture_local,104,50.0,33.0,24.0,18.0,0.806246,0.278133,1.116988,0.195818,0.094879
user_0081,Malaga,arts_culture_local,98,44.0,30.0,25.0,13.0,0.812049,0.297829,1.092423,0.175383,0.073973
user_0082,Barcelona,arts_culture_local,115,39.0,35.0,25.0,14.0,0.838161,0.239866,1.034083,0.183656,0.070333
user_0083,Valencia,arts_culture_local,93,40.0,31.0,33.0,16.0,0.879859,0.256982,1.034677,0.199867,0.096367
user_0084,Valencia,arts_culture_local,108,43.0,29.0,31.0,18.0,0.848544,0.231316,1.079727,0.221657,0.087741
user_0085,Madrid,arts_culture_local,99,45.0,29.0,33.0,13.0,0.78849,0.246915,1.066622,0.219603,0.07167
user_0086,Bilbao,arts_culture_local,80,40.0,26.0,27.0,16.0,0.763382,0.24118,1.152927,0.207374,0.111096
user_0087,Malaga,arts_culture_local,86,39.0,30.0,24.0,14.0,0.797501,0.224063,1.130002,0.132891,0.062439
user_0088,Malaga,arts_culture_local,113,42.0,34.0,26.0,14.0,0.876428,0.266411,1.120164,0.179823,0.115539
user_0089,Sevilla,arts_culture_local,73,51.0,26.0,24.0,16.0,0.761941,0.231249,1.053828,0.167936,0.08549
user_0090,Bilbao,arts_culture_local,93,54.0,32.0,29.0,17.0,0.773261,0.295603,1.022177,0.22043,0.091469
user_0091,Bilbao,arts_culture_local,116,51.0,30.0,25.0,20.0,0.848,0.263948,1.056329,0.183804,0.077789
user_0092,Barcelona,arts_culture_local,117,52.0,26.0,27.0,20.0,0.767998,0.254115,1.083594,0.159511,0.114576
user_0093,Madrid,arts_culture_local,73,44.0,25.0,27.0,20.0,0.869044,0.277284,1.090233,0.154981,0.099533
user_0094,Barcelona,arts_culture_local,92,50.0,32.0,26.0,12.0,0.785085,0.268531,1.088975,0.162235,0.113097
user_0095,Madrid,arts_culture_local,99,47.0,27.0,33.0,15.0,0.875674,0.28796,1.021285,0.166927,0.08754
user_0096,Madrid,arts_culture_local,87,53.0,34.0,25.0,12.0,0.872338,0.279055,1.172945,0.186441,0.104396
user_0097,Malaga,arts_culture_local,111,43.0,29.0,33.0,14.0,0.770366,0.273202,1.024659,0.198526,0.111013
user_0098,Valencia,arts_culture_local,98,40.0,33.0,30.0,19.0,0.815548,0.28343,1.095203,0.195629,0.116552
user_0099,Barcelona,arts_culture_local,108,43.0,35.0,30.0,16.0,0.870526,0.269767,1.063569,0.204075,0.060471
user_0100,Valencia,arts_culture_local,101,46.0,35.0,24.0,20.0,0.877004,0.299766,1.040864,0.222919,0.065932
user_0101,Sevilla,arts_culture_local,101,54.0,27.0,28.0,13.0,0.839912,0.247603,1.176141,0.202559,0.112623
user_0102,Malaga,arts_culture_local,100,42.0,34.0,29.0,15.0,0.838875,0.238313,1.049458,0.191725,0.105964
user_0103,Madrid,arts_culture_local,87,54.0,28.0,23.0,15.0,0.772729,0.281135,1.15079,0.184148,0.062465
user_0104,Valencia,arts_culture_local,106,38.0,33.0,26.0,16.0,0.836005,0.227794,1.094221,0.134654,0.109556
user_0105,Malaga,arts_culture_local,74,50.0,28.0,32.0,16.0,0.844681,0.27793,1.15566,0.177142,0.079123
user_0106,Madrid,arts_culture_local,98,38.0,34.0,32.0,17.0,0.84407,0.281031,1.108523,0.194914,0.093779
user_0107,Sevilla,arts_culture_local,118,38.0,28.0,23.0,14.0,0.778102,0.281226,1.042586,0.13794,0.074362
user_0108,Bilbao,arts_culture_local,85,45.0,33.0,26.0,13.0,0.870033,0.235548,1.158772,0.166265,0.089044
user_0109,Sevilla,arts_culture_local,71,42.0,26.0,23.0,20.0,0.774964,0.220789,1.041683,0.201178,0.084933
user_0110,Madrid,arts_culture_local,106,39.0,30.0,29.0,19.0,0.820623,0.297192,1.076574,0.142854,0.116934
user_0111,Valencia,arts_culture_local,98,50.0,27.0,25.0,18.0,0.821103,0.276216,1.164716,0.209641,0.10164
user_0112,Barcelona,arts_culture_local,94,49.0,27.0,30.0,20.0,0.839411,0.241222,1.074086,0.189067,0.096393
user_0113,Malaga,arts_culture_local,82,54.0,34.0,23.0,13.0,0.836573,0.232563,1.10376,0.131901,0.071197
user_0114,Malaga,arts_culture_local,83,50.0,31.0,31.0,17.0,0.85204,0.233203,1.050844,0.201061,0.081946
user_0115,Sevilla,arts_culture_local,89,44.0,30.0,25.0,13.0,0.858914,0.298389,1.029466,0.200054,0.090307
user_0116,Barcelona,arts_culture_local,115,53.0,32.0,30.0,14.0,0.762325,0.284523,1.080873,0.188237,0.071439
user_0117,Sevilla,family_weekend_local,70,38.0,21.0,22.0,13.0,0.941171,0.112154,0.914643,0.123804,0.124234
user_0118,Malaga,family_weekend_local,91,31.0,23.0,13.0,8.0,0.940207,0.075423,0.918832,0.100016,0.129558
user_0119,Barcelona,family_weekend_local,69,31.0,15.0,20.0,6.0,0.903806,0.040668,1.026792,0.084771,0.118119
user_0120,Bilbao,family_weekend_local,75,32.0,16.0,22.0,9.0,0.861554,0.113366,0.886196,0.08,0.104204
user_0121,Valencia,family_weekend_local,72,27.0,15.0,21.0,7.0,0.950694,0.113732,1.00643,0.08,0.092116
user_0122,Madrid,family_weekend_local,105,37.0,18.0,20.0,13.0,0.96,0.101585,0.906647,0.143419,0.132214
user_0123,Sevilla,family_weekend_local,86,33.0,22.0,19.0,9.0,0.946542,0.103967,0.948348,0.115679,0.102504
user_0124,Sevilla,family_weekend_local,102,31.0,19.0,20.0,8.0,0.943119,0.050343,0.939615,0.118823,0.112621
user_0125,Malaga,family_weekend_local,93,27.0,22.0,13.0,8.0,0.9304,0.047721,1.030446,0.130096,0.098514
user_0126,Sevilla,family_weekend_local,84,33.0,18.0,16.0,13.0,0.925099,0.043445,0.923893,0.154263,0.146803
user_0127,Sevilla,family_weekend_local,104,38.0,23.0,17.0,6.0,0.952993,0.061142,0.918709,0.167086,0.107306
user_0128,Madrid,family_weekend_local,91,31.0,15.0,15.0,12.0,0.90921,0.057438,0.894473,0.137509,0.117054
user_0129,Barcelona,family_weekend_local,101,39.0,19.0,18.0,6.0,0.924032,0.092323,0.896443,0.167407,0.093473
user_0130,Madrid,family_weekend_local,101,30.0,17.0,23.0,12.0,0.96,0.086607,1.020076,0.10776,0.149016
user_0131,Sevilla,family_weekend_local,91,24.0,21.0,13.0,11.0,0.87046,0.110799,0.922407,0.151765,0.129259
user_0132,Valencia,family_weekend_local,92,30.0,16.0,17.0,7.0,0.913357,0.086261,0.978639,0.087615,0.110776
user_0133,Sevilla,family_weekend_local,102,24.0,16.0,22.0,14.0,0.959731,0.110043,0.944174,0.152191,0.142578
user_0134,Bilbao,family_weekend_local,89,27.0,14.0,15.0,13.0,0.928067,0.058291,0.895353,0.117729,0.094508
user_0135,Madrid,family_weekend_local,72,31.0,21.0,14.0,11.0,0.952502,0.08837,1.012157,0.102615,0.102956
user_0136,Sevilla,family_weekend_local,103,25.0,18.0,15.0,12.0,0.96,0.049957,0.922207,0.120813,0.10299
user_0137,Sevilla,family_weekend_local,96,26.0,17.0,16.0,6.0,0.96,0.107948,1.037801,0.1674,0.129708
user_0138,Sevilla,family_weekend_local,64,33.0,19.0,13.0,11.0,0.946934,0.119712,0.889068,0.095221,0.135385
user_0139,Malaga,family_weekend_local,96,27.0,15.0,15.0,8.0,0.937585,0.064552,1.002847,0.100993,0.124099
user_0140,Barcelona,family_weekend_local,81,24.0,17.0,16.0,8.0,0.96,0.088505,0.900032,0.141134,0.127792
user_0141,Malaga,family_weekend_local,66,28.0,19.0,16.0,8.0,0.930256,0.098232,0.881887,0.134736,0.129422
user_0142,Valencia,family_weekend_local,73,36.0,20.0,13.0,14.0,0.928486,0.062651,0.9347,0.091775,0.137283
user_0143,Valencia,family_weekend_local,63,35.0,17.0,13.0,6.0,0.95753,0.089265,1.030926,0.136327,0.131224
user_0144,Sevilla,family_weekend_local,101,25.0,13.0,14.0,7.0,0.918586,0.114616,0.97335,0.142559,0.133772
user_0145,Malaga,family_weekend_local,95,35.0,14.0,19.0,8.0,0.881041,0.104879,0.927984,0.102734,0.090737
user_0146,Valencia,family_weekend_local,62,35.0,22.0,14.0,7.0,0.951292,0.111496,1.027186,0.16193,0.106477
user_0147,Sevilla,family_weekend_local,83,33.0,19.0,19.0,12.0,0.879852,0.084636,0.987136,0.092988,0.106315
user_0148,Bilbao,family_weekend_local,91,28.0,18.0,23.0,11.0,0.921914,0.070976,0.925914,0.121286,0.143523
user_0149,Valencia,family_weekend_local,104,39.0,16.0,13.0,8.0,0.873494,0.088523,1.031046,0.08,0.138662
user_0150,Barcelona,family_weekend_local,102,38.0,22.0,15.0,14.0,0.892775,0.053082,1.013852,0.16901,0.120015
user_0151,Madrid,family_weekend_local,90,34.0,22.0,19.0,10.0,0.941325,0.088365,0.96021,0.111014,0.105222
user_0152,Madrid,family_weekend_local,61,24.0,15.0,13.0,13.0,0.889652,0.052049,0.962027,0.132782,0.142231
user_0153,Sevilla,family_weekend_local,72,28.0,13.0,18.0,7.0,0.93402,0.116631,0.900952,0.148171,0.127589
user_0154,Madrid,family_weekend_local,74,32.0,17.0,19.0,8.0,0.912806,0.062686,0.904445,0.106768,0.127034
user_0155,Malaga,family_weekend_local,102,40.0,15.0,19.0,14.0,0.878006,0.084395,0.94667,0.127425,0.123889
user_0156,Bilbao,family_weekend_local,64,31.0,20.0,20.0,10.0,0.889604,0.096966,0.956276,0.107277,0.120131
user_0157,Madrid,electronic_night_explorer,127,72.0,37.0,27.0,16.0,0.536921,0.186205,0.991289,0.277781,0.052381
user_0158,Valencia,electronic_night_explorer,101,76.0,30.0,31.0,22.0,0.471638,0.233152,1.055691,0.263115,0.07482
user_0159,Bilbao,electronic_night_explorer,128,70.0,32.0,30.0,20.0,0.509524,0.1857,1.013935,0.319335,0.107213
user_0160,Madrid,electronic_night_explorer,128,60.0,33.0,28.0,21.0,0.490001,0.203716,1.074326,0.328096,0.067636
user_0161,Malaga,electronic_night_explorer,124,61.0,35.0,33.0,20.0,0.487705,0.213047,1.101848,0.324403,0.083435
user_0162,Madrid,electronic_night_explorer,128,63.0,37.0,26.0,16.0,0.526557,0.160845,1.132157,0.287951,0.106121
user_0163,Valencia,electronic_night_explorer,106,62.0,35.0,32.0,18.0,0.478091,0.165323,0.99892,0.298878,0.103557
user_0164,Valencia,electronic_night_explorer,145,70.0,37.0,27.0,17.0,0.466298,0.185044,1.011084,0.255547,0.089036
user_0165,Malaga,electronic_night_explorer,106,67.0,35.0,32.0,14.0,0.434335,0.200798,1.021462,0.311641,0.102691
user_0166,Bilbao,electronic_night_explorer,142,62.0,37.0,34.0,16.0,0.422509,0.212386,1.103428,0.28669,0.073134
user_0167,Sevilla,electronic_night_explorer,150,74.0,32.0,34.0,19.0,0.490026,0.204014,1.121028,0.300613,0.071908
user_0168,Valencia,electronic_night_explorer,134,72.0,35.0,32.0,18.0,0.453626,0.239856,1.10769,0.282212,0.108473
user_0169,Madrid,electronic_night_explorer,146,75.0,39.0,27.0,14.0,0.524589,0.176237,1.136265,0.233019,0.095939
user_0170,Bilbao,electronic_night_explorer,122,75.0,30.0,34.0,18.0,0.488294,0.209456,1.002521,0.31613,0.0867
user_0171,Malaga,electronic_night_explorer,142,69.0,39.0,26.0,14.0,0.515377,0.222898,1.07851,0.315749,0.089672
user_0172,Bilbao,electronic_night_explorer,98,72.0,34.0,28.0,16.0,0.470077,0.214265,1.022068,0.264656,0.071423
user_0173,Madrid,electronic_night_explorer,100,76.0,35.0,35.0,15.0,0.421264,0.181737,1.102553,0.233068,0.105419
user_0174,Madrid,electronic_night_explorer,138,64.0,32.0,31.0,17.0,0.426597,0.173636,1.136091,0.286577,0.068661
user_0175,Malaga,electronic_night_explorer,133,69.0,32.0,33.0,16.0,0.459483,0.23712,1.077132,0.251274,0.080418
user_0176,Malaga,electronic_night_explorer,95,71.0,33.0,32.0,15.0,0.421597,0.20665,0.985491,0.250333,0.087689
user_0177,Barcelona,electronic_night_explorer,123,66.0,33.0,29.0,17.0,0.479724,0.232891,1.007332,0.28843,0.056805
user_0178,Barcelona,electronic_night_explorer,128,66.0,36.0,35.0,18.0,0.475762,0.216177,1.1246,0.308469,0.090865
user_0179,Valencia,electronic_night_explorer,117,60.0,29.0,26.0,18.0,0.464491,0.163138,1.033917,0.329133,0.079405
user_0180,Valencia,electronic_night_explorer,107,74.0,34.0,25.0,14.0,0.501064,0.211734,0.992921,0.289882,0.063738
user_0181,Bilbao,electronic_night_explorer,148,72.0,36.0,31.0,21.0,0.448894,0.193349,1.132048,0.266753,0.089096
user_0182,Sevilla,electronic_night_explorer,116,60.0,31.0,31.0,18.0,0.5312,0.219579,1.019495,0.288696,0.062363
user_0183,Sevilla,electronic_night_explorer,129,68.0,38.0,26.0,17.0,0.538072,0.167783,1.101529,0.253121,0.085539
user_0184,Malaga,electronic_night_explorer,109,61.0,37.0,34.0,15.0,0.491156,0.213452,0.99052,0.329589,0.067044
user_0185,Valencia,electronic_night_explorer,92,70.0,32.0,27.0,16.0,0.511136,0.22094,1.012591,0.307954,0.071427
user_0186,Malaga,electronic_night_explorer,146,75.0,35.0,28.0,21.0,0.420452,0.228837,1.03315,0.247263,0.069313
user_0187,Valencia,electronic_night_explorer,136,64.0,31.0,34.0,22.0,0.534161,0.234055,0.985129,0.327173,0.074526
user_0188,Malaga,electronic_night_explorer,118,63.0,37.0,35.0,19.0,0.463169,0.164563,1.074987,0.249269,0.107253
user_0189,Madrid,electronic_night_explorer,124,76.0,37.0,33.0,18.0,0.511323,0.176985,1.120635,0.246335,0.05002
user_0190,Barcelona,electronic_night_explorer,132,65.0,38.0,25.0,16.0,0.44419,0.199376,0.997727,0.252824,0.061255
user_0191,Sevilla,electronic_night_explorer,114,75.0,35.0,31.0,22.0,0.518282,0.182687,0.993639,0.258392,0.063348
user_0192,Bilbao,electronic_night_explorer,128,63.0,31.0,25.0,16.0,0.476918,0.214982,1.068338,0.241011,0.108676
user_0193,Sevilla,electronic_night_explorer,118,68.0,32.0,26.0,21.0,0.476814,0.209266,1.134423,0.24032,0.088573
user_0194,Bilbao,electronic_night_explorer,140,62.0,37.0,25.0,14.0,0.516905,0.174078,1.057393,0.326225,0.081661
user_0195,Madrid,electronic_night_explorer,104,62.0,37.0,35.0,16.0,0.436832,0.163953,1.096544,0.267752,0.08366
user_0196,Sevilla,electronic_night_explorer,133,68.0,31.0,32.0,21.0,0.433963,0.216788,1.08398,0.259408,0.076648
user_0197,Sevilla,electronic_night_explorer,106,67.0,32.0,25.0,15.0,0.468144,0.187106,1.009211,0.25714,0.109136
user_0198,Valencia,electronic_night_explorer,96,68.0,39.0,32.0,21.0,0.526388,0.228354,1.043168,0.241546,0.108827
user_0199,Sevilla,broad_discovery_flexible,85,63.0,41.0,26.0,18.0,0.63314,0.166896,1.085224,0.358347,0.05471
user_0200,Barcelona,broad_discovery_flexible,81,51.0,37.0,27.0,15.0,0.674807,0.188249,1.086751,0.346829,0.032787
user_0201,Sevilla,broad_discovery_flexible,120,48.0,47.0,21.0,16.0,0.613987,0.164313,1.049681,0.292735,0.063278
user_0202,Malaga,broad_discovery_flexible,86,64.0,41.0,29.0,17.0,0.6276,0.164873,0.997362,0.300778,0.068623
user_0203,Sevilla,broad_discovery_flexible,104,49.0,44.0,19.0,21.0,0.594214,0.213498,1.000398,0.303792,0.023817
user_0204,Madrid,broad_discovery_flexible,94,49.0,46.0,22.0,19.0,0.697398,0.209982,1.025695,0.331704,0.025553
user_0205,Barcelona,broad_discovery_flexible,129,60.0,45.0,29.0,16.0,0.665558,0.168278,1.040209,0.306135,0.066565
user_0206,Bilbao,broad_discovery_flexible,112,57.0,44.0,25.0,18.0,0.670632,0.199363,1.024121,0.306297,0.039076
user_0207,Valencia,broad_discovery_flexible,123,53.0,45.0,28.0,17.0,0.58885,0.179379,1.067109,0.341323,0.073354
user_0208,Valencia,broad_discovery_flexible,129,62.0,44.0,26.0,16.0,0.598934,0.174271,0.959819,0.291364,0.033702
user_0209,Madrid,broad_discovery_flexible,88,48.0,43.0,23.0,21.0,0.682387,0.147365,1.051947,0.342976,0.063171
user_0210,Sevilla,broad_discovery_flexible,126,61.0,44.0,24.0,14.0,0.684876,0.190502,0.962909,0.369033,0.040988
user_0211,Malaga,broad_discovery_flexible,81,64.0,37.0,22.0,15.0,0.587684,0.184277,1.078241,0.318517,0.023985
user_0212,Barcelona,broad_discovery_flexible,83,51.0,43.0,20.0,16.0,0.584024,0.144087,0.977709,0.301821,0.038239
user_0213,Madrid,broad_discovery_flexible,102,57.0,43.0,29.0,17.0,0.685828,0.17764,1.013506,0.362839,0.054359
user_0214,Madrid,broad_discovery_flexible,93,56.0,41.0,23.0,20.0,0.594044,0.17905,0.996969,0.319352,0.041235
user_0215,Malaga,broad_discovery_flexible,121,56.0,44.0,25.0,14.0,0.665794,0.200911,1.023166,0.303686,0.04281
user_0216,Bilbao,broad_discovery_flexible,85,53.0,44.0,26.0,14.0,0.611257,0.216728,0.995674,0.388652,0.050578
user_0217,Barcelona,broad_discovery_flexible,77,58.0,43.0,19.0,15.0,0.651969,0.179854,0.989373,0.328648,0.037851
user_0218,Valencia,broad_discovery_flexible,107,59.0,39.0,27.0,19.0,0.618172,0.206907,1.030155,0.384459,0.064482
user_0219,Bilbao,broad_discovery_flexible,90,63.0,44.0,25.0,20.0,0.640072,0.150114,0.96066,0.364967,0.062851
user_0220,Madrid,broad_discovery_flexible,121,53.0,46.0,26.0,16.0,0.69245,0.162127,0.975205,0.302072,0.03367
user_0221,Valencia,broad_discovery_flexible,110,48.0,40.0,19.0,19.0,0.672605,0.197054,1.054018,0.333278,0.078336
user_0222,Sevilla,broad_discovery_flexible,120,64.0,45.0,26.0,14.0,0.697058,0.216084,0.982348,0.339879,0.078948
