cluster_id,segmento,genero,subgenero,total_swipes,right_swipes,right_swipe_rate,global_right_swipe_rate,affinity_lift_vs_global,share_of_cluster_right_swipes,cluster_affinity_rank
1,Sports,Tennis,ATP,69,12,0.173913,0.419192,0.414877,0.010686,27
1,Sports,Football,La_Liga,82,9,0.109756,0.376432,0.291569,0.008014,28
2,Arts_Theatre,Classical,Symphonic,184,121,0.657609,0.413386,1.590787,0.080991,1
2,Arts_Theatre,Musical,Local_Musical,200,120,0.6,0.377205,1.590647,0.080321,2
2,Arts_Theatre,Classical,Chamber,189,113,0.597884,0.376694,1.587187,0.075636,3
2,Arts_Theatre,Theatre,Contemporary,198,118,0.59596,0.399748,1.490839,0.078983,4
2,Arts_Theatre,Musical,Broadway,198,118,0.59596,0.402778,1.479624,0.078983,5
2,Arts_Theatre,Comedy,Stand_Up,183,109,0.595628,0.403509,1.476123,0.072959,6
2,Arts_Theatre,Comedy,Improvised,168,88,0.52381,0.35894,1.459322,0.058902,7
2,Arts_Theatre,Theatre,Drama,177,101,0.570621,0.416332,1.370592,0.067604,8
2,Family,Kids,Interactive_Show,109,37,0.33945,0.358346,0.947267,0.024766,9
2,Family,Kids,Storytelling,117,38,0.324786,0.35806,0.907073,0.025435,10
2,Music,Rock,Alternative_Rock,113,48,0.424779,0.474912,0.894436,0.032129,11
2,Family,Circus,Acrobatic,104,31,0.298077,0.337553,0.883053,0.02075,12
2,Music,Urban,Hip_Hop,118,48,0.40678,0.471478,0.862775,0.032129,13
2,Family,Circus,Family_Circus,113,34,0.300885,0.351551,0.855879,0.022758,14
2,Music,Pop,Latin_Pop,123,48,0.390244,0.476404,0.819144,0.032129,15
2,Music,Rock,Indie_Rock,113,40,0.353982,0.459459,0.770432,0.026774,16
2,Music,Urban,Trap,123,44,0.357724,0.470379,0.760501,0.029451,17
2,Music,Electronic,House,118,41,0.347458,0.462772,0.750818,0.027443,18
2,Music,Pop,Mainstream_Pop,126,40,0.31746,0.443114,0.716431,0.026774,19
2,Family,Exhibition,Science,89,23,0.258427,0.385113,0.671041,0.015395,20
2,Music,Electronic,Techno,104,28,0.269231,0.445652,0.604128,0.018742,21
2,Sports,Basketball,ACB,92,21,0.228261,0.378655,0.60282,0.014056,22
2,Sports,Tennis,ATP,59,14,0.237288,0.419192,0.566061,0.009371,23
2,Sports,Tennis,Exhibition,72,15,0.208333,0.388106,0.536794,0.01004,24
2,Family,Exhibition,Immersive,106,18,0.169811,0.32106,0.528908,0.012048,25
2,Sports,Basketball,EuroLeague,87,17,0.195402,0.398485,0.490363,0.011379,26
2,Sports,Football,La_Liga,82,14,0.170732,0.376432,0.453552,0.009371,27
2,Sports,Football,International_Friendly,66,7,0.106061,0.386435,0.274459,0.004685,28
3,Sports,Football,International_Friendly,242,159,0.657025,0.386435,1.700219,0.104126,1
3,Sports,Tennis,Exhibition,206,135,0.65534,0.388106,1.688557,0.088409,2
3,Sports,Football,La_Liga,219,137,0.625571,0.376432,1.661842,0.089718,3
3,Sports,Basketball,ACB,191,120,0.628272,0.378655,1.659221,0.078585,4
3,Sports,Tennis,ATP,197,135,0.685279,0.419192,1.634762,0.088409,5
3,Sports,Basketball,EuroLeague,181,112,0.618785,0.398485,1.552843,0.073346,6
3,Arts_Theatre,Musical,Broadway,111,46,0.414414,0.402778,1.028891,0.030124,7
3,Arts_Theatre,Theatre,Contemporary,113,37,0.327434,0.399748,0.819101,0.024231,8
3,Arts_Theatre,Theatre,Drama,115,39,0.33913,0.416332,0.814567,0.02554,9
3,Arts_Theatre,Musical,Local_Musical,101,31,0.306931,0.377205,0.813698,0.020301,10
3,Arts_Theatre,Comedy,Stand_Up,112,36,0.321429,0.403509,0.796584,0.023576,11
3,Family,Circus,Family_Circus,94,26,0.276596,0.351551,0.786787,0.017027,12
3,Music,Pop,Mainstream_Pop,109,37,0.33945,0.443114,0.766055,0.024231,13
3,Family,Exhibition,Immersive,108,26,0.240741,0.32106,0.74983,0.017027,14
3,Music,Urban,Trap,135,47,0.348148,0.470379,0.740144,0.030779,15
3,Music,Electronic,House,161,55,0.341615,0.462772,0.738193,0.036018,16
3,Arts_Theatre,Classical,Symphonic,99,30,0.30303,0.413386,0.733045,0.019646,17
3,Music,Electronic,Techno,140,45,0.321429,0.445652,0.721254,0.02947,18
3,Family,Exhibition,Science,87,23,0.264368,0.385113,0.686468,0.015062,19
3,Music,Urban,Hip_Hop,121,38,0.31405,0.471478,0.666095,0.024885,20
3,Family,Circus,Acrobatic,101,22,0.217822,0.337553,0.645297,0.014407,21
3,Arts_Theatre,Classical,Chamber,113,27,0.238938,0.376694,0.634303,0.017682,22
3,Family,Kids,Storytelling,97,22,0.226804,0.35806,0.633425,0.014407,23
3,Music,Pop,Latin_Pop,133,39,0.293233,0.476404,0.615513,0.02554,24
3,Family,Kids,Interactive_Show,82,18,0.219512,0.358346,0.61257,0.011788,25
3,Arts_Theatre,Comedy,Improvised,97,21,0.216495,0.35894,0.60315,0.013752,26
3,Music,Rock,Indie_Rock,119,32,0.268908,0.459459,0.585269,0.020956,27
3,Music,Rock,Alternative_Rock,116,32,0.275862,0.474912,0.580869,0.020956,28
