user_id,home_city,synthetic_persona,cluster_id,distance_to_centroid,distance_to_next_centroid,total_swipes_90d,right_swipe_rate_90d,local_like_rate_90d,avg_price_mid_liked_90d
user_0040,Madrid,music_local_budget,0,4.902771,6.033038,101.0,0.475248,0.229167,50.041667
user_0044,Malaga,sports_travel_premium,0,6.233977,6.5323,71.0,0.478873,0.235294,62.176471
user_0157,Madrid,electronic_night_explorer,0,4.393772,5.652662,107.0,0.46729,0.2,49.87
user_0158,Valencia,electronic_night_explorer,0,5.025833,5.551788,82.0,0.439024,0.138889,58.583333
user_0159,Bilbao,electronic_night_explorer,0,4.369563,6.69011,110.0,0.418182,0.108696,59.413043
user_0160,Madrid,electronic_night_explorer,0,4.623129,7.062598,107.0,0.495327,0.207547,55.396226
user_0161,Malaga,electronic_night_explorer,0,4.705307,6.532087,101.0,0.465347,0.06383,50.978723
user_0162,Madrid,electronic_night_explorer,0,4.985043,7.717881,105.0,0.428571,0.133333,53.733333
user_0163,Valencia,electronic_night_explorer,0,4.478955,6.121667,82.0,0.426829,0.228571,53.914286
user_0164,Valencia,electronic_night_explorer,0,4.193417,6.500991,123.0,0.479675,0.220339,60.847458
user_0165,Malaga,electronic_night_explorer,0,5.709665,6.555562,88.0,0.477273,0.142857,59.738095
user_0166,Bilbao,electronic_night_explorer,0,4.30432,6.379967,113.0,0.433628,0.183673,51.714286
user_0167,Sevilla,electronic_night_explorer,0,3.749746,6.181045,122.0,0.434426,0.169811,53.622642
user_0168,Valencia,electronic_night_explorer,0,4.968006,6.38073,114.0,0.482456,0.109091,57.563636
user_0169,Madrid,electronic_night_explorer,0,4.184591,6.383308,125.0,0.384,0.208333,55.166667
user_0170,Bilbao,electronic_night_explorer,0,5.594439,7.504149,103.0,0.543689,0.178571,57.464286
user_0171,Malaga,electronic_night_explorer,0,5.119591,7.228546,128.0,0.46875,0.133333,57.883333
user_0172,Bilbao,electronic_night_explorer,0,4.028754,5.430806,85.0,0.352941,0.166667,53.95
user_0173,Madrid,electronic_night_explorer,0,5.872974,7.229337,88.0,0.443182,0.051282,52.666667
user_0174,Madrid,electronic_night_explorer,0,4.479313,6.109744,119.0,0.394958,0.106383,61.670213
user_0175,Malaga,electronic_night_explorer,0,4.878685,5.870808,104.0,0.451923,0.06383,56.606383
user_0177,Barcelona,electronic_night_explorer,0,5.016861,5.526107,102.0,0.470588,0.25,60.604167
user_0178,Barcelona,electronic_night_explorer,0,5.235637,6.483449,106.0,0.330189,0.257143,55.657143
user_0179,Valencia,electronic_night_explorer,0,4.35359,6.768136,100.0,0.46,0.108696,55.630435
user_0180,Valencia,electronic_night_explorer,0,3.908722,5.739964,95.0,0.463158,0.159091,56.840909
user_0181,Bilbao,electronic_night_explorer,0,4.370931,6.815102,124.0,0.435484,0.148148,49.592593
user_0182,Sevilla,electronic_night_explorer,0,4.183067,5.49483,95.0,0.378947,0.222222,51.916667
user_0183,Sevilla,electronic_night_explorer,0,3.778197,6.029385,111.0,0.45045,0.22,54.66
user_0184,Malaga,electronic_night_explorer,0,4.482049,6.665759,90.0,0.444444,0.175,54.375
user_0185,Valencia,electronic_night_explorer,0,4.008796,5.409342,79.0,0.43038,0.147059,53.735294
user_0186,Malaga,electronic_night_explorer,0,4.858168,6.569916,126.0,0.436508,0.109091,59.254545
user_0187,Valencia,electronic_night_explorer,0,7.42474,8.445049,117.0,0.487179,0.157895,58.105263
user_0188,Malaga,electronic_night_explorer,0,4.389913,6.522318,98.0,0.479592,0.255319,53.202128
user_0189,Madrid,electronic_night_explorer,0,5.210202,7.95598,102.0,0.519608,0.150943,55.433962
user_0190,Barcelona,electronic_night_explorer,0,5.090546,7.337522,110.0,0.372727,0.146341,54.780488
user_0191,Sevilla,electronic_night_explorer,0,4.802319,6.233571,91.0,0.43956,0.125,55.825
user_0192,Bilbao,electronic_night_explorer,0,4.651624,6.687281,106.0,0.349057,0.108108,54.351351
user_0193,Sevilla,electronic_night_explorer,0,4.565487,6.998729,100.0,0.47,0.106383,56.489362
user_0194,Bilbao,electronic_night_explorer,0,3.956448,6.13381,114.0,0.429825,0.22449,49.785714
user_0195,Madrid,electronic_night_explorer,0,4.964172,5.891685,85.0,0.4,0.176471,57.529412
user_0196,Sevilla,electronic_night_explorer,0,4.022646,6.062474,113.0,0.451327,0.156863,58.72549
user_0197,Sevilla,electronic_night_explorer,0,4.734487,6.967699,82.0,0.463415,0.184211,57.026316
user_0203,Sevilla,broad_discovery_flexible,0,4.345485,5.928455,88.0,0.397727,0.142857,51.757143
user_0205,Barcelona,broad_discovery_flexible,0,4.483201,6.433488,112.0,0.410714,0.195652,52.478261
user_0206,Bilbao,broad_discovery_flexible,0,4.296502,4.529807,87.0,0.45977,0.175,52.125
user_0207,Valencia,broad_discovery_flexible,0,5.229879,6.217513,90.0,0.388889,0.314286,53.5
user_0208,Valencia,broad_discovery_flexible,0,5.057576,5.959161,112.0,0.375,0.238095,55.333333
user_0209,Madrid,broad_discovery_flexible,0,6.512249,7.855626,70.0,0.485714,0.235294,55.088235
user_0210,Sevilla,broad_discovery_flexible,0,4.604045,6.049488,108.0,0.490741,0.188679,51.943396
user_0211,Malaga,broad_discovery_flexible,0,6.230786,6.427873,64.0,0.40625,0.076923,60.75
user_0212,Barcelona,broad_discovery_flexible,0,6.349565,6.973984,69.0,0.42029,0.137931,49.275862
user_0213,Madrid,broad_discovery_flexible,0,4.044576,4.973762,86.0,0.360465,0.258065,45.080645
user_0215,Malaga,broad_discovery_flexible,0,5.226937,6.871992,104.0,0.519231,0.185185,56.324074
user_0218,Valencia,broad_discovery_flexible,0,4.985177,5.48295,93.0,0.451613,0.166667,50.214286
user_0219,Bilbao,broad_discovery_flexible,0,5.028124,6.267433,79.0,0.481013,0.105263,57.157895
user_0220,Madrid,broad_discovery_flexible,0,5.531898,5.720697,93.0,0.365591,0.205882,56.764706
user_0221,Valencia,broad_discovery_flexible,0,3.072653,4.551739,99.0,0.40404,0.125,56.575
user_0222,Sevilla,broad_discovery_flexible,0,4.821375,5.772646,93.0,0.408602,0.157895,56.868421
user_0227,Madrid,broad_discovery_flexible,0,5.036416,6.319127,78.0,0.410256,0.1875,57.59375
user_0228,Barcelona,broad_discovery_flexible,0,5.363353,5.513146,77.0,0.415584,0.03125,56.4375
user_0231,Sevilla,broad_discovery_flexible,0,5.222253,6.962046,92.0,0.326087,0.233333,54.45
user_0232,Valencia,broad_discovery_flexible,0,4.416242,5.839266,98.0,0.479592,0.212766,54.053191
user_0233,Sevilla,broad_discovery_flexible,0,3.762465,5.867095,91.0,0.395604,0.194444,50.388889
user_0235,Barcelona,broad_discovery_flexible,0,6.17309,6.493027,70.0,0.4,0.178571,53.25
user_0237,Valencia,broad_discovery_flexible,0,4.570549,4.8912,89.0,0.382022,0.147059,54.617647
user_0240,Madrid,broad_discovery_flexible,0,3.821858,5.288044,103.0,0.407767,0.142857,53.142857
user_0023,Sevilla,music_local_budget,1,6.287447,7.591581,98.0,0.285714,0.214286,45.214286
user_0117,Sevilla,family_weekend_local,1,4.674905,6.422616,62.0,0.387097,0.083333,41.3125
user_0118,Malaga,family_weekend_local,1,4.206185,7.934301,77.0,0.337662,0.269231,38.942308
user_0119,Barcelona,family_weekend_local,1,8.145068,8.455774,60.0,0.433333,0.230769,39.730769
user_0120,Bilbao,family_weekend_local,1,5.802304,9.702545,65.0,0.384615,0.24,33.6
user_0121,Valencia,family_weekend_local,1,7.426494,10.3857,61.0,0.360656,0.272727,37.681818
user_0122,Madrid,family_weekend_local,1,5.105946,7.133272,81.0,0.382716,0.354839,40.548387
user_0123,Sevilla,family_weekend_local,1,6.237747,7.4138,74.0,0.405405,0.366667,36.433333
user_0124,Sevilla,family_weekend_local,1,5.410775,6.221132,84.0,0.333333,0.142857,42.732143
user_0125,Malaga,family_weekend_local,1,11.817808,14.419178,75.0,0.333333,0.36,38.46
user_0126,Sevilla,family_weekend_local,1,5.533059,7.479216,72.0,0.361111,0.115385,37.961538
user_0127,Sevilla,family_weekend_local,1,6.263022,7.473386,88.0,0.431818,0.184211,37.026316
user_0128,Madrid,family_weekend_local,1,5.271128,8.343487,80.0,0.3375,0.259259,41.722222
user_0129,Barcelona,family_weekend_local,1,5.815039,8.489369,90.0,0.333333,0.433333,38.233333
user_0130,Madrid,family_weekend_local,1,5.175882,7.132952,89.0,0.359551,0.21875,37.359375
user_0131,Sevilla,family_weekend_local,1,4.721389,8.547017,71.0,0.352113,0.2,32.34
user_0132,Valencia,family_weekend_local,1,6.318368,10.105297,76.0,0.315789,0.458333,36.708333
user_0133,Sevilla,family_weekend_local,1,6.699513,10.186893,80.0,0.2375,0.315789,33.5
user_0134,Bilbao,family_weekend_local,1,7.113259,9.133908,76.0,0.302632,0.434783,41.152174
user_0135,Madrid,family_weekend_local,1,6.526031,7.971016,61.0,0.344262,0.095238,40.47619
user_0136,Sevilla,family_weekend_local,1,8.752508,12.980067,83.0,0.301205,0.48,34.9
user_0137,Sevilla,family_weekend_local,1,4.83817,8.178146,79.0,0.35443,0.25,38.857143
user_0138,Sevilla,family_weekend_local,1,5.633992,8.311493,54.0,0.296296,0.25,43.5
user_0139,Malaga,family_weekend_local,1,5.272034,7.534146,78.0,0.320513,0.32,39.46
user_0140,Barcelona,family_weekend_local,1,4.359656,8.733626,66.0,0.333333,0.272727,32.681818
user_0141,Malaga,family_weekend_local,1,5.777301,8.530863,60.0,0.333333,0.15,39.7
user_0142,Valencia,family_weekend_local,1,6.914041,8.39095,62.0,0.403226,0.28,36.86
user_0143,Valencia,family_weekend_local,1,7.005935,8.579813,53.0,0.415094,0.272727,36.181818
user_0144,Sevilla,family_weekend_local,1,4.983559,8.579166,89.0,0.247191,0.227273,34.090909
user_0145,Malaga,family_weekend_local,1,6.344339,9.009372,79.0,0.379747,0.133333,39.116667
user_0146,Valencia,family_weekend_local,1,6.860137,8.460269,47.0,0.340426,0.25,48.0
user_0147,Sevilla,family_weekend_local,1,5.440741,9.688023,71.0,0.28169,0.3,31.875
user_0148,Bilbao,family_weekend_local,1,7.847695,8.62313,79.0,0.481013,0.394737,38.026316
user_0149,Valencia,family_weekend_local,1,4.726265,6.536711,85.0,0.341176,0.241379,42.534483
user_0150,Barcelona,family_weekend_local,1,5.306312,7.160646,82.0,0.329268,0.185185,46.111111
user_0151,Madrid,family_weekend_local,1,5.338083,6.592421,73.0,0.328767,0.333333,45.6875
user_0152,Madrid,family_weekend_local,1,9.994867,11.889657,48.0,0.416667,0.25,43.05
user_0153,Sevilla,family_weekend_local,1,10.531003,13.253016,56.0,0.303571,0.352941,40.205882
user_0154,Madrid,family_weekend_local,1,6.671859,10.809523,64.0,0.28125,0.222222,38.305556
user_0155,Malaga,family_weekend_local,1,6.306621,8.34348,83.0,0.361446,0.066667,39.033333
user_0156,Bilbao,family_weekend_local,1,5.144008,8.057658,54.0,0.37037,0.1,38.45
user_0200,Barcelona,broad_discovery_flexible,1,6.215942,6.599212,77.0,0.25974,0.15,54.9
user_0224,Malaga,broad_discovery_flexible,1,9.727175,9.853616,70.0,0.285714,0.2,57.9
user_0236,Malaga,broad_discovery_flexible,1,8.748217,9.954306,85.0,0.329412,0.142857,47.035714
user_0239,Malaga,broad_discovery_flexible,1,5.857695,6.654446,87.0,0.356322,0.225806,47.064516
user_0079,Sevilla,arts_culture_local,2,6.573112,8.368382,89.0,0.337079,0.2,44.583333
user_0080,Sevilla,arts_culture_local,2,3.902634,6.503636,92.0,0.402174,0.324324,50.337838
user_0081,Malaga,arts_culture_local,2,4.877354,6.325719,76.0,0.421053,0.15625,47.96875
user_0082,Barcelona,arts_culture_local,2,4.810037,6.222565,95.0,0.368421,0.314286,48.514286
user_0083,Valencia,arts_culture_local,2,4.202946,6.856776,74.0,0.391892,0.137931,47.396552
user_0084,Valencia,arts_culture_local,2,5.015671,6.698725,93.0,0.451613,0.095238,47.202381
user_0085,Madrid,arts_culture_local,2,6.491572,7.381794,81.0,0.432099,0.2,41.785714
user_0086,Bilbao,arts_culture_local,2,6.002463,8.221561,66.0,0.484848,0.375,45.8125
user_0087,Malaga,arts_culture_local,2,5.420092,6.686729,76.0,0.328947,0.28,48.92
user_0088,Malaga,arts_culture_local,2,4.934529,6.470177,88.0,0.431818,0.315789,47.947368
user_0089,Sevilla,arts_culture_local,2,4.943731,7.590428,64.0,0.390625,0.2,48.56
user_0090,Bilbao,arts_culture_local,2,5.925842,6.883507,77.0,0.402597,0.16129,45.66129
user_0091,Bilbao,arts_culture_local,2,4.994532,7.105044,101.0,0.415842,0.095238,47.428571
user_0092,Barcelona,arts_culture_local,2,4.201667,6.21066,97.0,0.43299,0.285714,45.928571
user_0093,Madrid,arts_culture_local,2,6.292381,8.69605,64.0,0.515625,0.272727,49.969697
user_0094,Barcelona,arts_culture_local,2,5.99059,8.325509,70.0,0.471429,0.151515,51.636364
user_0095,Madrid,arts_culture_local,2,5.62789,6.212692,83.0,0.433735,0.166667,51.638889
user_0096,Madrid,arts_culture_local,2,4.108033,6.292702,73.0,0.424658,0.225806,54.741935
user_0097,Malaga,arts_culture_local,2,5.030788,7.045584,93.0,0.354839,0.30303,39.363636
user_0098,Valencia,arts_culture_local,2,6.660865,8.768453,73.0,0.534247,0.179487,43.948718
user_0099,Barcelona,arts_culture_local,2,5.393456,7.541306,93.0,0.365591,0.088235,44.75
user_0100,Valencia,arts_culture_local,2,4.233853,5.262394,86.0,0.406977,0.171429,51.828571
user_0101,Sevilla,arts_culture_local,2,3.955013,4.768096,84.0,0.392857,0.242424,53.636364
user_0102,Malaga,arts_culture_local,2,5.450455,7.478144,81.0,0.345679,0.321429,45.892857
user_0103,Madrid,arts_culture_local,2,7.415298,9.505289,71.0,0.464789,0.333333,48.333333
user_0104,Valencia,arts_culture_local,2,5.123706,7.022615,86.0,0.44186,0.263158,48.934211
user_0105,Malaga,arts_culture_local,2,6.371946,6.960832,59.0,0.389831,0.347826,43.5
user_0106,Madrid,arts_culture_local,2,5.409015,7.036443,81.0,0.493827,0.275,50.95
user_0107,Sevilla,arts_culture_local,2,4.203049,4.92521,96.0,0.4375,0.119048,49.035714
user_0108,Bilbao,arts_culture_local,2,6.738179,7.632469,71.0,0.352113,0.32,44.96
user_0109,Sevilla,arts_culture_local,2,5.781971,7.660144,62.0,0.354839,0.090909,49.181818
user_0110,Madrid,arts_culture_local,2,4.341933,7.148278,82.0,0.45122,0.216216,43.405405
user_0111,Valencia,arts_culture_local,2,5.478302,7.061772,81.0,0.444444,0.222222,47.333333
user_0112,Barcelona,arts_culture_local,2,7.891815,9.555042,82.0,0.47561,0.153846,47.384615
user_0113,Malaga,arts_culture_local,2,5.316091,6.909514,71.0,0.422535,0.133333,50.05
user_0114,Malaga,arts_culture_local,2,4.177719,6.092274,68.0,0.455882,0.290323,49.725806
user_0115,Sevilla,arts_culture_local,2,8.15619,10.889093,79.0,0.341772,0.148148,46.703704
user_0116,Barcelona,arts_culture_local,2,4.85145,6.641634,93.0,0.387097,0.222222,47.194444
user_0176,Malaga,electronic_night_explorer,2,6.463429,6.650101,82.0,0.487805,0.175,54.575
user_0199,Sevilla,broad_discovery_flexible,2,6.282532,6.71518,72.0,0.375,0.296296,55.240741
user_0201,Sevilla,broad_discovery_flexible,2,5.634689,6.17915,105.0,0.514286,0.148148,51.203704
user_0214,Madrid,broad_discovery_flexible,2,5.193309,5.590926,81.0,0.469136,0.236842,52.078947
user_0229,Malaga,broad_discovery_flexible,2,5.844627,6.257357,73.0,0.479452,0.171429,52.571429
user_0230,Valencia,broad_discovery_flexible,2,4.160724,5.28245,67.0,0.462687,0.16129,50.258065
user_0041,Bilbao,sports_travel_premium,3,7.985918,9.745008,69.0,0.42029,0.206897,72.603448
user_0042,Valencia,sports_travel_premium,3,7.186362,10.362074,75.0,0.306667,0.130435,79.826087
user_0043,Sevilla,sports_travel_premium,3,5.021138,7.386668,92.0,0.391304,0.138889,71.222222
user_0045,Malaga,sports_travel_premium,3,5.217227,6.970686,73.0,0.328767,0.208333,68.166667
user_0046,Malaga,sports_travel_premium,3,5.026621,6.088326,90.0,0.488889,0.159091,66.227273
user_0047,Madrid,sports_travel_premium,3,4.146732,5.499368,78.0,0.435897,0.147059,67.029412
user_0048,Madrid,sports_travel_premium,3,4.230823,6.522651,92.0,0.358696,0.212121,69.484848
user_0049,Sevilla,sports_travel_premium,3,8.558468,9.988257,81.0,0.333333,0.185185,78.314815
user_0050,Valencia,sports_travel_premium,3,8.171486,9.27656,65.0,0.307692,0.25,76.35
user_0051,Bilbao,sports_travel_premium,3,4.107569,4.856234,91.0,0.417582,0.184211,61.947368
user_0052,Sevilla,sports_travel_premium,3,6.249277,8.12589,84.0,0.47619,0.075,71.625
user_0053,Valencia,sports_travel_premium,3,5.337756,8.703859,72.0,0.444444,0.125,75.21875
user_0054,Madrid,sports_travel_premium,3,6.514887,8.178964,61.0,0.540984,0.272727,72.454545
user_0055,Sevilla,sports_travel_premium,3,4.524452,5.265076,94.0,0.425532,0.225,67.925
user_0056,Valencia,sports_travel_premium,3,4.18854,6.202978,98.0,0.387755,0.157895,72.921053
user_0057,Bilbao,sports_travel_premium,3,5.920348,9.041187,59.0,0.457627,0.185185,82.037037
user_0058,Bilbao,sports_travel_premium,3,4.368688,7.278296,76.0,0.460526,0.142857,75.428571
user_0059,Sevilla,sports_travel_premium,3,3.838684,6.472321,98.0,0.387755,0.131579,75.473684
user_0060,Sevilla,sports_travel_premium,3,6.814315,8.869047,65.0,0.523077,0.088235,69.941176
user_0061,Barcelona,sports_travel_premium,3,4.262427,6.330584,100.0,0.4,0.25,71.475
user_0062,Sevilla,sports_travel_premium,3,4.064162,6.096795,84.0,0.452381,0.184211,68.868421
user_0063,Valencia,sports_travel_premium,3,3.915812,5.937945,80.0,0.35,0.178571,65.035714
user_0064,Malaga,sports_travel_premium,3,5.886212,6.861059,71.0,0.521127,0.189189,70.0
user_0065,Sevilla,sports_travel_premium,3,5.715808,9.064153,75.0,0.413333,0.16129,80.225806
user_0066,Madrid,sports_travel_premium,3,6.982668,8.048795,75.0,0.48,0.138889,64.638889
user_0067,Bilbao,sports_travel_premium,3,4.765126,5.911946,97.0,0.360825,0.2,70.471429
user_0068,Madrid,sports_travel_premium,3,6.094714,8.526698,77.0,0.285714,0.181818,75.545455
user_0069,Madrid,sports_travel_premium,3,4.290346,6.44498,104.0,0.471154,0.081633,74.816327
user_0070,Valencia,sports_travel_premium,3,4.515546,6.355249,97.0,0.474227,0.173913,70.945652
user_0071,Malaga,sports_travel_premium,3,4.724544,5.924865,77.0,0.324675,0.08,69.28
user_0072,Bilbao,sports_travel_premium,3,7.945737,9.919888,61.0,0.327869,0.15,73.95
user_0073,Barcelona,sports_travel_premium,3,6.493398,8.331932,75.0,0.506667,0.184211,80.236842
user_0074,Barcelona,sports_travel_premium,3,6.460159,7.947839,75.0,0.506667,0.263158,67.315789
user_0075,Madrid,sports_travel_premium,3,6.119739,6.713661,77.0,0.506494,0.25641,70.666667
user_0076,Barcelona,sports_travel_premium,3,5.042128,7.406018,92.0,0.380435,0.2,75.542857
user_0077,Bilbao,sports_travel_premium,3,4.286762,5.619682,97.0,0.474227,0.23913,73.956522
user_0078,Sevilla,sports_travel_premium,3,5.271567,7.927562,61.0,0.393443,0.208333,76.125
user_0198,Valencia,electronic_night_explorer,3,7.521066,7.85099,74.0,0.432432,0.21875,66.1875
user_0202,Malaga,broad_discovery_flexible,3,4.597112,5.38947,73.0,0.410959,0.1,59.8
user_0204,Madrid,broad_discovery_flexible,3,4.974273,5.970563,77.0,0.363636,0.142857,58.714286
user_0216,Bilbao,broad_discovery_flexible,3,5.686097,6.168703,66.0,0.363636,0.041667,60.166667
user_0217,Barcelona,broad_discovery_flexible,3,4.578397,5.400564,68.0,0.411765,0.178571,57.821429
user_0223,Sevilla,broad_discovery_flexible,3,6.338297,7.33448,81.0,0.37037,0.233333,60.516667
user_0225,Malaga,broad_discovery_flexible,3,5.028681,6.982937,70.0,0.414286,0.137931,62.862069
user_0226,Malaga,broad_discovery_flexible,3,5.922548,6.323629,55.0,0.363636,0.25,53.85
user_0234,Barcelona,broad_discovery_flexible,3,4.976047,5.730119,75.0,0.373333,0.142857,60.625
user_0238,Barcelona,broad_discovery_flexible,3,6.573091,7.205111,73.0,0.356164,0.115385,61.923077
