interaction_id,event_timestamp,user_id,session_id,event_id,interaction_type,swipe_direction,liked,recommendation_context,segmento,genero,subgenero,ciudad,precio_min,precio_max,fecha_evento,recinto_id,ingestion_timestamp,days_until_event,avg_price,is_right_swipe
int_0000022,2026-02-23 21:43:52,user_001,sess_00005,event_00071,swipe,right,True,discover,Music,Pop,Mainstream Pop,Valencia,17.39,60.82,2026-07-11,venue_valencia_011,2026-02-23 21:44:48,138,39.105000000000004,1
int_0000023,2026-02-25 03:16:50,user_001,sess_00003,event_00781,swipe,right,True,discover,Music,Jazz,Smooth Jazz,Valencia,71.23,122.91,2026-05-30,venue_valencia_060,2026-02-25 03:20:07,94,97.07,1
int_0000024,2026-02-26 07:25:24,user_001,sess_00005,event_00008,swipe,right,True,discover,Music,Rock,Classic Rock,Barcelona,72.65,87.22,2026-05-03,venue_barcelona_021,2026-02-26 07:25:43,66,79.935,1
int_0000025,2026-02-27 06:40:20,user_001,sess_00002,event_00492,swipe,right,True,discover,Music,Urban,Hip-Hop,Valencia,48.88,107.05,2026-06-19,venue_valencia_069,2026-02-27 06:41:07,112,77.965,1
int_0000026,2026-02-27 23:35:10,user_001,sess_00001,event_00813,swipe,right,True,discover,Music,Electronic,House,Malaga,40.81,122.84,2026-08-22,venue_malaga_047,2026-02-27 23:38:37,176,81.825,1
int_0000027,2026-02-28 14:57:04,user_001,sess_00002,event_00715,swipe,right,True,discover,Music,Rock,Alternative Rock,Barcelona,64.77,111.32,2026-07-02,venue_barcelona_065,2026-02-28 14:59:12,124,88.04499999999999,1
int_0000028,2026-03-01 15:39:44,user_001,sess_00002,event_00574,swipe,right,True,discover,Music,Pop,Synth Pop,Valencia,74.26,132.79,2026-05-17,venue_valencia_040,2026-03-01 15:40:09,77,103.525,1
int_0000029,2026-03-01 21:33:18,user_001,sess_00001,event_01448,swipe,right,True,planner,Music,Rock,Indie Rock,Valencia,41.29,72.6,2026-06-12,venue_valencia_069,2026-03-01 21:35:34,103,56.94499999999999,1
int_0000030,2026-03-02 19:44:01,user_001,sess_00001,event_00789,swipe,right,True,map,Music,Jazz,Smooth Jazz,Valencia,20.41,77.6,2026-08-17,venue_valencia_064,2026-03-02 19:44:46,168,49.004999999999995,1
int_0000031,2026-03-03 10:46:53,user_001,sess_00005,event_00540,swipe,right,True,discover,Music,Urban,Trap,Valencia,65.49,140.5,2026-08-18,venue_valencia_025,2026-03-03 10:49:27,168,102.995,1
int_0000032,2026-03-04 16:50:28,user_001,sess_00002,event_01046,swipe,right,True,discover,Music,Electronic,EDM,Valencia,74.17,147.64,2026-06-21,venue_valencia_024,2026-03-04 16:54:28,109,110.905,1
int_0000033,2026-03-05 18:41:53,user_001,sess_00003,event_00772,swipe,right,True,discover,Music,Pop,Synth Pop,Barcelona,29.08,62.67,2026-05-27,venue_barcelona_032,2026-03-05 18:42:19,83,45.875,1
int_0000034,2026-03-07 04:24:48,user_001,sess_00003,event_01456,swipe,right,True,planner,Music,Jazz,Smooth Jazz,Valencia,54.01,77.66,2026-07-13,venue_valencia_060,2026-03-07 04:26:43,128,65.835,1
int_0000035,2026-03-07 12:56:15,user_001,sess_00003,event_00113,swipe,left,False,discover,Sports,Running,Marathon,Valencia,74.72,86.28,2026-05-24,venue_valencia_065,2026-03-07 12:59:39,78,80.5,0
int_0000036,2026-03-08 09:34:21,user_001,sess_00005,event_01155,swipe,right,True,discover,Music,Urban,Trap,Valencia,70.92,114.11,2026-08-06,venue_valencia_007,2026-03-08 09:36:36,151,92.515,1
int_0000037,2026-03-08 22:36:53,user_001,sess_00005,event_01473,swipe,right,True,discover,Music,Urban,Trap,Barcelona,34.26,106.49,2026-07-14,venue_barcelona_034,2026-03-08 22:38:08,128,70.375,1
int_0000038,2026-03-09 03:22:38,user_001,sess_00004,event_00671,swipe,right,True,discover,Sports,Basketball,Friendly,Valencia,54.28,93.11,2026-08-13,venue_valencia_012,2026-03-09 03:25:15,157,73.695,1
int_0000039,2026-03-09 08:42:34,user_001,sess_00001,event_00725,swipe,left,False,discover,Music,Jazz,Smooth Jazz,Valencia,70.86,141.88,2026-06-16,venue_valencia_004,2026-03-09 08:45:05,99,106.37,0
int_0000040,2026-03-10 05:48:25,user_001,sess_00003,event_00530,swipe,right,True,discover,Music,Jazz,Big Band,Valencia,53.37,86.76,2026-07-16,venue_valencia_068,2026-03-10 05:49:14,128,70.065,1
int_0000041,2026-03-10 15:30:44,user_001,sess_00005,event_01044,swipe,right,True,discover,Music,Jazz,Fusion,Valencia,22.65,31.43,2026-07-10,venue_valencia_062,2026-03-10 15:34:38,122,27.04,1
int_0000042,2026-03-10 21:50:49,user_001,sess_00002,event_00540,swipe,right,True,discover,Music,Urban,Trap,Valencia,65.49,140.5,2026-08-18,venue_valencia_025,2026-03-10 21:53:33,161,102.995,1
int_0000043,2026-03-11 05:34:11,user_001,sess_00002,event_00886,swipe,right,True,planner,Music,Electronic,EDM,Valencia,45.27,131.12,2026-07-31,venue_valencia_066,2026-03-11 05:37:00,142,88.19500000000001,1
int_0000044,2026-03-12 12:22:44,user_001,sess_00002,event_00876,swipe,right,True,discover,Arts & Theatre,Classical,Symphonic,Barcelona,38.94,117.98,2026-07-20,venue_barcelona_058,2026-03-12 12:23:48,130,78.46000000000001,1
int_0000045,2026-03-13 21:14:44,user_001,sess_00005,event_01011,swipe,right,True,discover,Music,Pop,Mainstream Pop,Valencia,37.06,115.03,2026-07-08,venue_valencia_015,2026-03-13 21:17:32,117,76.045,1
int_0000046,2026-03-14 13:18:50,user_001,sess_00004,event_00037,swipe,left,False,map,Music,Jazz,Big Band,Valencia,57.81,85.04,2026-05-05,venue_valencia_057,2026-03-14 13:22:10,52,71.42500000000001,0
int_0000047,2026-03-15 07:41:09,user_001,sess_00001,event_00908,swipe,right,True,discover,Music,Rock,Classic Rock,Valencia,63.48,120.07,2026-06-20,venue_valencia_062,2026-03-15 07:43:53,97,91.77499999999999,1
int_0000048,2026-03-15 22:09:43,user_001,sess_00001,event_01173,swipe,right,True,discover,Music,Urban,Reggaeton,Valencia,21.88,96.22,2026-04-29,venue_valencia_051,2026-03-15 22:12:38,45,59.05,1
int_0000049,2026-03-16 10:31:48,user_001,sess_00003,event_00597,swipe,right,True,map,Music,Rock,Classic Rock,Barcelona,41.37,121.89,2026-06-02,venue_barcelona_025,2026-03-16 10:35:35,78,81.63,1
int_0000050,2026-03-17 22:23:16,user_001,sess_00002,event_01149,swipe,left,False,discover,Arts & Theatre,Exhibition,Immersive,Barcelona,60.36,76.87,2026-05-07,venue_barcelona_013,2026-03-17 22:24:15,51,68.61500000000001,0
int_0000051,2026-03-18 22:04:41,user_001,sess_00001,event_00286,swipe,right,True,discover,Music,Pop,Mainstream Pop,Valencia,29.31,46.9,2026-05-11,venue_valencia_041,2026-03-18 22:07:14,54,38.105,1
int_0000052,2026-03-20 01:16:31,user_001,sess_00002,event_01182,swipe,right,True,map,Music,Pop,Synth Pop,Valencia,74.04,122.49,2026-07-24,venue_valencia_039,2026-03-20 01:17:11,126,98.265,1
int_0000053,2026-03-21 01:53:15,user_001,sess_00004,event_00855,swipe,right,True,discover,Music,Electronic,Techno,Sevilla,63.11,105.01,2026-05-13,venue_sevilla_030,2026-03-21 01:54:30,53,84.06,1
int_0000054,2026-03-21 19:55:53,user_001,sess_00003,event_00563,swipe,right,True,discover,Music,Rock,Alternative Rock,Valencia,33.02,59.21,2026-04-26,venue_valencia_039,2026-03-21 19:56:56,36,46.115,1
int_0000055,2026-03-22 10:05:35,user_001,sess_00002,event_00492,swipe,right,True,discover,Music,Urban,Hip-Hop,Valencia,48.88,107.05,2026-06-19,venue_valencia_069,2026-03-22 10:07:48,89,77.965,1
int_0000056,2026-03-22 18:41:05,user_001,sess_00003,event_00522,swipe,right,True,discover,Music,Pop,Synth Pop,Valencia,63.46,99.13,2026-07-16,venue_valencia_022,2026-03-22 18:42:43,116,81.295,1
int_0000057,2026-03-23 05:52:10,user_001,sess_00005,event_00887,swipe,right,True,discover,Music,Pop,Synth Pop,Valencia,39.45,66.62,2026-04-29,venue_valencia_062,2026-03-23 05:52:29,37,53.035000000000004,1
int_0000058,2026-03-24 05:34:58,user_001,sess_00004,event_01158,swipe,right,True,discover,Music,Rock,Indie Rock,Barcelona,52.09,104.67,2026-04-29,venue_barcelona_020,2026-03-24 05:37:53,36,78.38,1
int_0000059,2026-03-24 14:29:00,user_001,sess_00004,event_01051,swipe,right,True,planner,Music,Jazz,Fusion,Valencia,70.81,141.43,2026-07-21,venue_valencia_022,2026-03-24 14:29:37,119,106.12,1
int_0000060,2026-03-25 06:15:43,user_001,sess_00003,event_00943,swipe,right,True,map,Music,Rock,Alternative Rock,Bilbao,40.15,104.38,2026-05-24,venue_bilbao_044,2026-03-25 06:16:20,60,72.265,1
int_0000061,2026-03-25 14:15:45,user_001,sess_00002,event_01265,swipe,right,True,planner,Music,Pop,Latin Pop,Valencia,51.52,132.76,2026-08-20,venue_valencia_004,2026-03-25 14:17:29,148,92.14,1
int_0000062,2026-03-26 09:05:43,user_001,sess_00004,event_01048,swipe,right,True,planner,Music,Pop,Latin Pop,Valencia,24.91,37.62,2026-05-07,venue_valencia_031,2026-03-26 09:06:18,42,31.265,1
int_0000063,2026-03-26 02:47:33,user_002,sess_00008,event_01442,swipe,right,True,planner,Music,Pop,Synth Pop,Madrid,59.71,104.59,2026-08-10,venue_madrid_046,2026-03-26 02:50:18,137,82.15,1
int_0000064,2026-03-26 21:16:00,user_002,sess_00006,event_01142,swipe,left,False,discover,Music,Jazz,Fusion,Madrid,68.79,153.36,2026-05-15,venue_madrid_002,2026-03-26 21:19:43,50,111.07500000000002,0
int_0000065,2026-03-27 06:16:54,user_002,sess_00008,event_00538,swipe,right,True,discover,Music,Urban,Hip-Hop,Madrid,44.61,80.65,2026-04-27,venue_madrid_020,2026-03-27 06:17:41,31,62.63,1
int_0000066,2026-03-27 15:47:48,user_002,sess_00009,event_00424,swipe,left,False,discover,Sports,Motor,Formula,Madrid,37.85,68.66,2026-05-26,venue_madrid_042,2026-03-27 15:51:05,60,53.254999999999995,0
int_0000067,2026-03-28 10:47:28,user_002,sess_00007,event_00508,swipe,left,False,discover,Music,Jazz,Big Band,Madrid,26.98,95.29,2026-07-29,venue_madrid_064,2026-03-28 10:51:27,123,61.135000000000005,0
int_0000068,2026-03-29 15:58:26,user_002,sess_00006,event_01352,swipe,right,True,discover,Music,Urban,Trap,Madrid,66.47,97.22,2026-05-08,venue_madrid_041,2026-03-29 16:02:07,40,81.845,1
int_0000069,2026-03-30 07:23:18,user_002,sess_00008,event_00274,swipe,left,False,planner,Arts & Theatre,Exhibition,Modern Art,Madrid,36.05,85.59,2026-07-09,venue_madrid_062,2026-03-30 07:24:37,101,60.82,0
int_0000070,2026-03-31 09:54:13,user_002,sess_00009,event_00664,swipe,right,True,discover,Arts & Theatre,Theatre,Drama,Madrid,40.58,126.34,2026-06-03,venue_madrid_061,2026-03-31 09:56:37,64,83.46000000000001,1
int_0000071,2026-04-01 07:34:40,user_002,sess_00009,event_00279,swipe,right,True,discover,Music,Electronic,House,Barcelona,43.98,91.03,2026-07-01,venue_barcelona_027,2026-04-01 07:37:37,91,67.505,1
int_0000072,2026-04-01 14:41:02,user_002,sess_00007,event_00293,swipe,right,True,planner,Arts & Theatre,Classical,Opera,Madrid,71.96,116.84,2026-08-15,venue_madrid_039,2026-04-01 14:43:04,136,94.4,1
int_0000073,2026-04-02 13:24:02,user_002,sess_00008,event_00042,swipe,right,True,planner,Music,Urban,Hip-Hop,Madrid,47.05,129.42,2026-07-14,venue_madrid_017,2026-04-02 13:26:08,103,88.23499999999999,1
int_0000074,2026-04-02 19:36:18,user_002,sess_00006,event_00753,swipe,right,True,map,Sports,Football,Friendly,Madrid,72.1,124.14,2026-05-17,venue_madrid_037,2026-04-02 19:37:59,45,98.12,1
int_0000075,2026-04-03 09:52:03,user_002,sess_00007,event_01451,swipe,left,False,planner,Sports,Running,Marathon,Madrid,39.67,111.03,2026-08-13,venue_madrid_041,2026-04-03 09:52:25,132,75.35,0
int_0000076,2026-04-04 01:33:15,user_002,sess_00009,event_01229,swipe,right,True,planner,Music,Rock,Indie Rock,Madrid,59.5,112.33,2026-06-30,venue_madrid_022,2026-04-04 01:35:29,87,85.91499999999999,1
int_0000077,2026-04-04 13:11:46,user_002,sess_00007,event_00652,swipe,right,True,discover,Sports,Running,10K,Madrid,47.89,115.82,2026-07-08,venue_madrid_001,2026-04-04 13:13:37,95,81.85499999999999,1
int_0000078,2026-04-05 03:50:58,user_002,sess_00009,event_01442,swipe,right,True,discover,Music,Pop,Synth Pop,Madrid,59.71,104.59,2026-08-10,venue_madrid_046,2026-04-05 03:54:56,127,82.15,1
int_0000079,2026-04-05 20:00:36,user_002,sess_00007,event_00776,swipe,right,True,planner,Music,Jazz,Big Band,Barcelona,53.13,141.01,2026-06-28,venue_barcelona_026,2026-04-05 20:03:35,84,97.07,1
int_0000080,2026-04-06 10:57:29,user_002,sess_00009,event_01214,swipe,right,True,discover,Music,Rock,Indie Rock,Madrid,66.54,129.1,2026-08-04,venue_madrid_037,2026-04-06 10:59:51,120,97.82,1
int_0000081,2026-04-06 17:40:17,user_002,sess_00009,event_00201,swipe,right,True,planner,Music,Pop,Synth Pop,Madrid,61.5,144.98,2026-06-29,venue_madrid_053,2026-04-06 17:42:28,84,103.24,1
int_0000082,2026-04-07 03:20:20,user_002,sess_00006,event_00323,swipe,right,True,discover,Arts & Theatre,Classical,Opera,Madrid,56.45,64.66,2026-05-25,venue_madrid_015,2026-04-07 03:21:21,48,60.555,1
int_0000083,2026-04-08 03:05:52,user_002,sess_00008,event_00018,swipe,right,True,map,Music,Electronic,EDM,Madrid,22.65,55.93,2026-06-20,venue_madrid_019,2026-04-08 03:09:36,73,39.29,1
int_0000084,2026-04-08 08:53:42,user_002,sess_00006,event_00971,swipe,right,True,discover,Family,Magic,Family Magic,Madrid,20.11,78.01,2026-05-04,venue_madrid_062,2026-04-08 08:57:40,26,49.06,1
int_0000085,2026-04-09 10:50:03,user_002,sess_00006,event_00209,swipe,right,True,discover,Music,Electronic,Techno,Madrid,55.87,75.14,2026-05-08,venue_madrid_061,2026-04-09 10:51:43,29,65.505,1
int_0000086,2026-04-10 06:41:02,user_002,sess_00007,event_01160,swipe,right,True,discover,Music,Electronic,House,Madrid,30.63,42.87,2026-08-02,venue_madrid_049,2026-04-10 06:44:10,114,36.75,1
int_0000087,2026-04-11 17:51:29,user_002,sess_00006,event_00401,swipe,right,True,discover,Music,Rock,Indie Rock,Barcelona,60.87,109.02,2026-07-08,venue_barcelona_022,2026-04-11 17:53:57,88,84.945,1
int_0000088,2026-04-12 08:08:35,user_002,sess_00007,event_00143,swipe,left,False,discover,Family,Magic,Family Magic,Madrid,58.06,123.34,2026-06-04,venue_madrid_045,2026-04-12 08:11:18,53,90.7,0
int_0000089,2026-04-12 20:10:24,user_002,sess_00008,event_00853,swipe,right,True,discover,Arts & Theatre,Dance,Contemporary,Madrid,58.15,66.69,2026-06-18,venue_madrid_057,2026-04-12 20:10:26,67,62.42,1
int_0000090,2026-04-13 02:10:57,user_002,sess_00007,event_01471,swipe,right,True,discover,Music,Urban,Trap,Madrid,52.05,127.56,2026-06-12,venue_madrid_038,2026-04-13 02:13:36,60,89.805,1
int_0000091,2026-04-14 05:59:56,user_002,sess_00009,event_01471,swipe,right,True,discover,Music,Urban,Trap,Madrid,52.05,127.56,2026-06-12,venue_madrid_038,2026-04-14 06:03:51,59,89.805,1
int_0000092,2026-04-14 20:12:32,user_002,sess_00008,event_00149,swipe,right,True,discover,Sports,Motor,Formula,Valencia,68.11,106.27,2026-08-19,venue_valencia_061,2026-04-14 20:14:07,127,87.19,1
int_0000093,2026-04-15 05:40:00,user_002,sess_00007,event_01450,swipe,right,True,discover,Music,Electronic,EDM,Madrid,47.8,109.98,2026-07-08,venue_madrid_042,2026-04-15 05:43:46,84,78.89,1
int_0000094,2026-04-16 00:31:38,user_002,sess_00009,event_00976,swipe,right,True,map,Music,Rock,Indie Rock,Malaga,27.35,39.78,2026-05-27,venue_malaga_044,2026-04-16 00:33:17,41,33.565,1
int_0000095,2026-04-17 08:22:31,user_002,sess_00008,event_00327,swipe,right,True,discover,Music,Pop,Synth Pop,Madrid,27.04,81.27,2026-06-12,venue_madrid_002,2026-04-17 08:24:23,56,54.155,1
int_0000096,2026-04-17 18:15:37,user_002,sess_00007,event_00426,swipe,right,True,discover,Arts & Theatre,Exhibition,Modern Art,Madrid,36.21,47.15,2026-05-09,venue_madrid_003,2026-04-17 18:16:16,22,41.68,1
int_0000097,2026-04-19 00:48:48,user_002,sess_00009,event_01194,swipe,right,True,discover,Music,Rock,Alternative Rock,Madrid,46.85,83.71,2026-07-19,venue_madrid_061,2026-04-19 00:49:37,91,65.28,1
int_0000098,2026-04-19 06:43:32,user_002,sess_00009,event_00338,swipe,left,False,planner,Music,Rock,Classic Rock,Barcelona,66.28,119.87,2026-06-16,venue_barcelona_004,2026-04-19 06:44:55,58,93.075,0
int_0000099,2026-04-20 02:32:28,user_002,sess_00007,event_00336,swipe,right,True,discover,Music,Pop,Synth Pop,Madrid,63.46,96.41,2026-05-16,venue_madrid_012,2026-04-20 02:33:47,26,79.935,1
int_0000100,2026-04-21 01:42:46,user_002,sess_00009,event_00749,swipe,right,True,discover,Music,Urban,Reggaeton,Madrid,54.59,111.23,2026-08-05,venue_madrid_005,2026-04-21 01:44:22,106,82.91,1
int_0000101,2026-04-21 17:33:11,user_002,sess_00006,event_00895,swipe,right,True,discover,Arts & Theatre,Dance,Flamenco,Madrid,66.84,85.81,2026-04-28,venue_madrid_043,2026-04-21 17:36:08,7,76.325,1
int_0000102,2026-04-22 16:01:27,user_002,sess_00008,event_00923,swipe,right,True,discover,Music,Rock,Classic Rock,Madrid,52.88,135.72,2026-05-20,venue_madrid_057,2026-04-22 16:02:00,28,94.3,1
int_0000103,2026-04-23 03:59:43,user_002,sess_00007,event_00372,swipe,left,False,map,Family,Circus,Acrobatics,Madrid,54.03,127.67,2026-07-08,venue_madrid_065,2026-04-23 04:01:04,76,90.85,0
int_0000104,2026-04-23 23:42:19,user_002,sess_00008,event_00341,swipe,right,True,discover,Music,Urban,Trap,Madrid,71.54,83.69,2026-05-01,venue_madrid_016,2026-04-23 23:45:26,8,77.61500000000001,1
int_0000105,2026-04-24 15:20:47,user_002,sess_00008,event_00503,swipe,right,True,discover,Music,Rock,Alternative Rock,Madrid,19.34,51.47,2026-07-06,venue_madrid_014,2026-04-24 15:21:45,73,35.405,1
int_0000106,2026-04-25 00:31:11,user_002,sess_00009,event_01361,swipe,right,True,discover,Music,Urban,Reggaeton,Madrid,61.34,112.23,2026-06-09,venue_madrid_047,2026-04-25 00:34:58,45,86.785,1
int_0000107,2026-04-25 06:27:28,user_002,sess_00006,event_01471,swipe,right,True,discover,Music,Urban,Trap,Madrid,52.05,127.56,2026-06-12,venue_madrid_038,2026-04-25 06:29:38,48,89.805,1
int_0000108,2026-04-25 11:41:47,user_002,sess_00008,event_00015,swipe,right,True,discover,Music,Jazz,Smooth Jazz,Madrid,35.57,99.94,2026-07-26,venue_madrid_027,2026-04-25 11:42:08,92,67.755,1
int_0000109,2026-04-25 02:53:54,user_002,sess_00009,event_01113,swipe,right,True,discover,Music,Electronic,EDM,Madrid,71.89,117.14,2026-07-22,venue_madrid_055,2026-04-25 02:55:05,88,94.515,1
int_0000110,2026-04-25 11:47:47,user_002,sess_00007,event_00700,swipe,right,True,discover,Music,Rock,Alternative Rock,Madrid,27.0,108.09,2026-08-15,venue_madrid_053,2026-04-25 11:49:50,112,67.545,1
int_0000111,2026-04-25 07:15:12,user_002,sess_00006,event_00868,swipe,right,True,discover,Music,Electronic,House,Madrid,48.54,120.4,2026-07-10,venue_madrid_052,2026-04-25 07:15:21,76,84.47,1
int_0000112,2026-04-25 03:23:33,user_002,sess_00006,event_01288,swipe,right,True,map,Music,Urban,Trap,Madrid,48.27,132.54,2026-08-01,venue_madrid_034,2026-04-25 03:23:51,98,90.405,1
int_0000113,2026-04-25 07:42:54,user_002,sess_00007,event_00393,swipe,right,True,discover,Music,Pop,Mainstream Pop,Madrid,30.57,72.89,2026-06-02,venue_madrid_064,2026-04-25 07:43:12,38,51.730000000000004,1
int_0000114,2026-04-25 10:08:24,user_002,sess_00009,event_01229,swipe,right,True,discover,Music,Rock,Indie Rock,Madrid,59.5,112.33,2026-06-30,venue_madrid_022,2026-04-25 10:10:19,66,85.91499999999999,1
int_0000115,2026-04-25 11:42:33,user_002,sess_00007,event_00565,swipe,right,True,discover,Music,Jazz,Smooth Jazz,Madrid,38.99,122.26,2026-07-08,venue_madrid_012,2026-04-25 11:44:36,74,80.625,1
int_0000116,2026-04-25 08:09:59,user_002,sess_00007,event_00585,swipe,right,True,planner,Music,Urban,Hip-Hop,Madrid,51.75,111.04,2026-07-21,venue_madrid_067,2026-04-25 08:11:41,87,81.39500000000001,1
int_0000117,2026-04-25 04:55:26,user_002,sess_00009,event_01297,swipe,right,True,discover,Music,Urban,Reggaeton,Madrid,30.57,88.28,2026-08-21,venue_madrid_037,2026-04-25 04:55:28,118,59.425,1
int_0000118,2026-04-25 11:54:42,user_002,sess_00007,event_00864,swipe,right,True,discover,Music,Jazz,Big Band,Madrid,49.35,57.78,2026-06-03,venue_madrid_058,2026-04-25 11:55:51,39,53.565,1
int_0000119,2026-04-25 09:39:02,user_002,sess_00007,event_00391,swipe,right,True,map,Music,Rock,Alternative Rock,Madrid,31.61,93.41,2026-08-14,venue_madrid_042,2026-04-25 09:41:49,111,62.51,1
int_0000120,2026-04-25 07:21:02,user_002,sess_00009,event_01320,swipe,right,True,discover,Music,Pop,Mainstream Pop,Madrid,64.1,143.98,2026-05-12,venue_madrid_052,2026-04-25 07:21:55,17,104.03999999999999,1
int_0000121,2026-04-25 07:40:07,user_002,sess_00007,event_00732,swipe,right,True,map,Music,Urban,Hip-Hop,Madrid,41.55,62.98,2026-08-06,venue_madrid_054,2026-04-25 07:42:33,103,52.265,1
int_0000122,2026-04-25 01:40:32,user_002,sess_00008,event_00062,swipe,right,True,discover,Arts & Theatre,Theatre,Drama,Valencia,32.44,119.61,2026-06-21,venue_valencia_062,2026-04-25 01:42:12,57,76.025,1
int_0000123,2026-04-25 04:50:20,user_002,sess_00007,event_00912,swipe,right,True,planner,Music,Urban,Trap,Madrid,66.0,106.94,2026-06-02,venue_madrid_007,2026-04-25 04:51:24,38,86.47,1
int_0000124,2026-04-25 00:38:18,user_002,sess_00006,event_00003,swipe,right,True,discover,Music,Pop,Latin Pop,Madrid,23.41,46.46,2026-06-22,venue_madrid_069,2026-04-25 00:39:56,58,34.935,1
int_0000125,2026-04-25 03:05:52,user_002,sess_00007,event_00749,swipe,right,True,discover,Music,Urban,Reggaeton,Madrid,54.59,111.23,2026-08-05,venue_madrid_005,2026-04-25 03:08:40,102,82.91,1
